No,Nama Pemeriksaan,Permintaan/Hasil,Code,Display,Component,Property,Timing,System,Scale,Method,Unit of Measure,Code System,BodySite Code,BodySite Display,BodySite CodeSystem,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date
11,DSA diagnostik cerebral,Permintaan & Hasil,37173-2,RFA Cerebral artery Views W contrast IA,Views^W contrast IA,Find,Pt,Head>Cerebral artery,Doc,RF.angio,,http://loinc.org,127865000,Entire blood vessel of head,http://snomed.info/sct,2.14,2.64,1.0,1.1,13/02/2023,15/11/2023
12,DSA diagnostik cerebral,Permintaan & Hasil,37195-5,RFA Cerebral vein Views W contrast IV,Views^W contrast IV,Find,Pt,Head>Cerebral vein,Doc,RF.angio,,http://loinc.org,,,,2.14,2.64,1.0,1.1,13/02/2023,15/11/2023
13,DSA pulmonary vein dengan kontras,Permintaan & Hasil,39057-5,RFA Pulmonary arteries Views W contrast IA,Views^W contrast IA,Find,Pt,Chest>Pulmonary arteries,Doc,RF.angio,,http://loinc.org,,,,2.15,2.64,1.0,1.1,13/02/2023,15/11/2023
14,DSA vena jugularis  bilateral dengan kontras IV ,Permintaan & Hasil,86435-5,RFA Jugular vein - bilateral Views W contrast IV,Views^W contrast IV,Find,Pt,Head+Neck>Internal jugular vein.bilateral,Doc,RF.angio,,http://loinc.org,,,,2.61,2.64,1.0,1.1,13/02/2023,15/11/2023
15,DSA vena jugularis  unilateral dengan kontras IV ,Permintaan & Hasil,86426-4,RFA Jugular vein - unilateral Views W contrast IV,Views^W contrast IV,Find,Pt,Head+Neck>Internal jugular vein.unilateral,Doc,RF.angio,,http://loinc.org,,,,2.61,2.64,1.0,1.1,13/02/2023,15/11/2023
16,DSA vena orbit kanan dengan kontras IV ,Permintaan & Hasil,37958-6,RFA Orbit veins - right Views W contrast IV,Views^W contrast IV,Find,Pt,Head>Orbit veins.right,Doc,RF.angio,,http://loinc.org,,,,2.14,2.64,1.0,1.1,13/02/2023,15/11/2023
17,DSA vena orbit kiri dengan kontras IV ,Permintaan & Hasil,37422-3,RFA Orbit veins - left Views W contrast IV,Views^W contrast IV,Find,Pt,Head>Orbit veins.left,Doc,RF.angio,,http://loinc.org,,,,2.14,2.64,1.0,1.1,13/02/2023,15/11/2023
18,Ductulografi,Permintaan & Hasil,RD0992897,Ductulografi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
19,DXA total body composition,Permintaan & Hasil,63520-1,PhenX - body composition by dual-energy x-ray absorptiometry protocol 020301 ,PhenX - body composition by dual-energy x-ray absorptiometry protocol 020301,-,Pt,^Patient,-,PhenX,,http://loinc.org,,,,2.36,2.72,1.0,1.1,15/11/2023,17/01/2024
20,ERCP + tindakan,Permintaan & Hasil,30815-5,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- W contrast retrograde,Guidance for endoscopy^W contrast retrograde,Find,Pt,Abdomen>Biliary ducts+pancreatic duct,Doc,RF,,http://loinc.org,,,,2.04,2.64,1.0,1.1,15/11/2023,17/01/2024
21,Fluoroscopy,Permintaan & Hasil,RD0992898,Fluoroscopy,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
22,Fluoroscopy dengan kontras,Permintaan & Hasil,RD0992899,Fluoroscopy dengan kontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
23,RF RPG (retrogard pyelography) kontras,Permintaan & Hasil,86388-6,RF Kidney and Ureter and Urinary bladder Views W contrast retrograde,Views^W contrast retrograde,Find,Pt,Abdomen>Kidney & Abdomen+Pelvis>Ureter & Pelvis>Urinary bladder,Doc,RF,,http://loinc.org,,,2.61,2.71,,1.0,1.1,15/11/2023,17/01/2024
24,RF RPG (retrogard pyelography) kontras,Permintaan & Hasil,88833-9,RF Kidney - bilateral and Ureter Views W contrast retrograde intra ureter,Views^W contrast retrograde intra ureter,Find,Pt,Abdomen>Kidney.bilateral & Abdomen+Pelvis>Ureter,Doc,RF,,http://loinc.org,,,2.64,2.64,,1.0,1.1,15/11/2023,17/01/2024
25,RF RPG (retrogard pyelography) kontras,Permintaan & Hasil,88832-1,RF Kidney - left and Ureter Views W contrast retrograde intra ureter,Views^W contrast retrograde intra ureter,Find,Pt,Abdomen>Kidney.left & Abdomen+Pelvis>Ureter,Doc,RF,,http://loinc.org,,,2.64,2.64,,1.0,1.1,15/11/2023,17/01/2024
26,RF RPG (retrogard pyelography) kontras,Permintaan & Hasil,88831-3,RF Kidney - right and Ureter Views W contrast retrograde intra ureter,Views^W contrast retrograde intra ureter,Find,Pt,Abdomen>Kidney.right & Abdomen+Pelvis>Ureter,Doc,RF,,http://loinc.org,,,2.64,2.64,,1.0,1.1,15/11/2023,17/01/2024
27,RF RPG (retrogard pyelography) kontras,Permintaan & Hasil,86393-6,RF Kidney - bilateral and Ureter - bilateral and Urinary bladder Views W contrast retrograde,Views^W contrast retrograde,Find,Pt,Abdomen>Kidney.bilateral & Abdomen+Pelvis>Ureter.bilateral & Pelvis>Urinary bladder,Doc,RF,,http://loinc.org,,,2.61,2.71,,1.0,1.1,15/11/2023,17/01/2024
28,RF RPG (retrogard pyelography) kontras,Permintaan & Hasil,86389-4,RF Kidney and Ureter and Urinary bladder Views during surgery W contrast retrograde,Views^during surgery W contrast retrograde,Find,Pt,Abdomen>Kidney & Abdomen+Pelvis>Ureter & Pelvis>Urinary bladder,Doc,RF,,http://loinc.org,,,2.61,2.71,,1.0,1.1,15/11/2023,17/01/2024
29,RF APG (antegrade pyelography) kontras,Permintaan & Hasil,86387-8,RF Kidney and Ureter and Urinary bladder Views W contrast antegrade,Views^W contrast antegrade,Find,Pt,Abdomen>Kidney & Abdomen+Pelvis>Ureter & Pelvis>Urinary bladder,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
30,RF artrografi,Permintaan & Hasil,37191-4,RF Joint Arthrogram,Views^W contrast IS,Find,Pt,XXX>Joint,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
31,RF artrografi bahu,Permintaan & Hasil,24910-2,RF Shoulder Arthrogram,Views^W contrast IS,Find,Pt,Upper extremity>Shoulder,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
32,RF artrografi coxae,Permintaan & Hasil,24764-3,RF Hip Arthrogram,Views^W contrast IS,Find,Pt,Lower extremity>Hip,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
33,RF artrografi cubiti,Permintaan & Hasil,37186-4,RF Elbow Arthrogram,Views^W contrast IS,Find,Pt,Upper extremity>Elbow,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
34,RF artrografi genu,Permintaan & Hasil,24800-5,RF Knee Arthrogram,Views^W contrast IS,Find,Pt,Lower extremity>Knee,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
35,RF artrografi pergelangan kaki,Permintaan & Hasil,37183-1,RF Ankle Arthrogram,Views^W contrast IS,Find,Pt,Lower extremity>Ankle,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
36,RF artrografi pergelangan tangan,Permintaan & Hasil,25034-0,RF Wrist Arthrogram,Views^W contrast IS,Find,Pt,Upper extremity>Wrist,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
37,RF artrografi sakroiliaka,Permintaan & Hasil,37647-5,RF Sacroiliac Joint Arthrogram,Views^W contrast IS,Find,Pt,Pelvis>Sacroiliac joint,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
38,RF artrografi sendi temporomandibula,Permintaan & Hasil,37901-6,RF Temporomandibular joint Arthrogram,Views^W contrast IS,Find,Pt,Head>Temporomandibular joint,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
39,RF BNO - IVP W kontras,Permintaan & Hasil,86372-0,RF Kidney and Ureter and Urinary bladder Views W contrast IV,Views^W contrast IV,Find,Pt,Abdomen>Kidney & Abdomen+Pelvis>Ureter & Pelvis>Urinary bladder,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
40,RF cholangiografi t. tube w kontras,Permintaan & Hasil,30647-2,RF Biliary ducts and Gallbladder Views W contrast via T-tube,Views^W contrast via T-tube,Find,Pt,Abdomen>Biliary ducts+Gallbladder,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
41,RF colon in loop,Permintaan & Hasil,24666-0,RF Colon Views W air and barium contrast PR,Views^W air contrast PR+W barium contrast PR,Find,Pt,Abdomen+Pelvis>Colon,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
42,RF colon in loop water soluble,Permintaan & Hasil,24666-0,RF Colon Views W air and barium contrast PR,Views^W air contrast PR+W barium contrast PR,Find,Pt,Abdomen+Pelvis>Colon,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
43,RF corpora cavernosografi,Permintaan & Hasil,37586-5,RF Penis Views W contrast intra corpus cavernosum,Views^W contrast intra corpus cavernosum,Find,Pt,Pelvis>Penis,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
44,RF cystogram w kontras intrabladder,Permintaan & Hasil,86401-7,RF Urinary bladder Views W contrast intra bladder,Views^W contrast intra bladder,Find,Pt,Pelvis>Urinary bladder,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
45,RF cystourethrography,Permintaan & Hasil,25017-5,RF Urinary bladder and Urethra Views W contrast intra bladder,Views^W contrast intra bladder,Find,Pt,Pelvis>Urinary bladder+Urethra,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
46,RF dacryocystography bilateral,Permintaan & Hasil,38098-0,RF Lacrimal duct - bilateral Views W contrast intra lacrimal duct,Views^W contrast intra lacrimal duct,Find,Pt,Head>Lacrimal duct.bilateral,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
47,RF dacryocystography kanan,Permintaan & Hasil,38827-2,RF Lacrimal duct - right Views W contrast intra lacrimal duct,Views^W contrast intra lacrimal duct,Find,Pt,Head>Lacrimal duct.right,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
48,RF dacryocystography kiri,Permintaan & Hasil,38099-8,RF Lacrimal duct - left Views W contrast intra lacrimal duct,Views^W contrast intra lacrimal duct,Find,Pt,Head>Lacrimal duct.left,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
49,RF dakriosistografi,Permintaan & Hasil,30810-6,RF Lacrimal duct Views W contrast intra lacrimal duct,Views^W contrast intra lacrimal duct,Find,Pt,Head>Lacrimal duct,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
50,RF diskografi cervikal,Permintaan & Hasil,37192-2,RF Cervical spine Views W contrast intradisc,Views^W contrast intradisc,Find,Pt,Neck>Spine.cervical,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
51,RF diskografi lumbal,Permintaan & Hasil,37193-0,RF Lumbar spine Views W contrast intradisc,Views^W contrast intradisc,Find,Pt,Abdomen>Spine.lumbar,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
52,RF diskografi thorakal,Permintaan & Hasil,70933-7,RF Thoracic spine Views W contrast intradisc,Views^W contrast intradisc,Find,Pt,Chest>Spine.thoracic,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
53,"RF enema terapi, kontras atau udara, untuk reduksi intususepsi atau obstruksi intraluminal lain (seperti, ileus mekonium)",Permintaan & Hasil,30636-5,RF Colon Views for reduction W contrast PR,Views for reduction^W contrast PR,Find,Pt,Abdomen+Pelvis>Colon,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
54,RF epididimografi,Permintaan & Hasil,X099258,RF epididimografi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.0,2/13/2023,2/13/2023
55,RF epidurografi,Permintaan & Hasil,38104-6,RF Spine epidural space Views W contrast IT,Views^W contrast IT,Find,Pt,XXX>Spine epidural space,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
56,RF ERCP (Endoscopic Retrograde Cholangiopancreatography) diagnostik dengan kontras,Permintaan & Hasil,30815-5,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- W contrast retrograde,Guidance for endoscopy^W contrast retrograde,Find,Pt,Abdomen>Biliary ducts+pancreatic duct,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
57,RF esofagografi,Permintaan & Hasil,24678-5,RF Esophagus Views W contrast PO,Views^W contrast PO,Find,Pt,Chest>Esophagus,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
58,RF esofagus (esofagogram),Permintaan & Hasil,30633-2,RF Esophagus Views W barium contrast PO,Views^W barium contrast PO,Find,Pt,Chest>Esophagus,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
59,RF evaluasi faring dan bicara dinamik kompleks dengan cine atau rekaman video,Permintaan & Hasil,86395-1,RF videography Hypopharynx and Esophagus Views for swallowing function W speech and W barium contrast PO,Views for swallowing function^W speech+W barium contrast PO,Find,Pt,Neck>Hypopharynx & Chest>Esophagus,Doc,RF.video,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
60,RF faring dan esofagus servikal,Permintaan & Hasil,86410-8,RF Pharynx and Cervical esophagus Views W barium contrast PO,Views^W barium contrast PO,Find,Pt,Neck>Pharynx+Esophagus.cervical,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
61,RF fistulogram,Permintaan & Hasil,86437-1,RF Fistula Diagnostic W contrast intra fistula,Views diagnostic^W contrast intra fistula,Find,Pt,XXX>Fistula,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
62,RF fluoroscopy dengan durasi lebih dari 1 jam,Permintaan & Hasil,42702-1,RF Greater than 1 hour,View,Find,Gt 1H,XXX,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
63,RF fluoroskopi untuk lokalisasi jarum atau kateter vertebra untuk diagnostik atau terapetik,Permintaan & Hasil,39027-8,RF Guidance for needle localization of Unspecified body region,Guidance for needle localization,Find,Pt,XXX,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
64,"RF fluoroskopi untuk mencari akses dan pemasangan kateter, penggantian kateter, atau pelepasan kateter;",Permintaan & Hasil,35912-5,RF Guidance for placement of catheter in Unspecified body region,Guidance for placement of catheter,Find,Pt,XXX,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
65,"RF fluoroskopi untuk pemasangan jarum (contoh: biopsi, aspirasi, injeksi)",Permintaan & Hasil,86400-9,RF Guidance for placement of needle in Unspecified body region,Guidance for placement of needle,Find,Pt,XXX,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
66,RF followtrough,Permintaan & Hasil,43574-3,RF Upper gastrointestinal tract and Small bowel Views W barium contrast PO,Views^W barium contrast PO,Find,Pt,Abdomen>Gastrointestinal tract.upper+Small bowel,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
67,"RF fungsi menelan, dengan cineXR/videoXR",Permintaan & Hasil,24681-9,RF videography Hypopharynx and Esophagus Views,Views^W contrast PO+during swallowing,Find,Pt,Neck>Hypopharynx & Chest>Esophagus,Doc,RF.video,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
68,RF genitografi,Permintaan & Hasil,X099259,RF genitografi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.0,2/13/2023,2/13/2023
69,"RF guidance dilatasi nefrostomi, ureter, atau uretra; ",Permintaan & Hasil,88834-7,"RF Guidance for dilation of nephrostomy tract, ureter, or urethra",Guidance for dilation,Find,Pt,Abdomen>Kidney & Abdomen+Pelvis>Ureter & Pelvis>Urethra,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
70,RF guidance pelebaran esofagus ,Permintaan & Hasil,24680-1,RF Guidance for dilation of Esophagus,Guidance for dilation,Find,Pt,Chest>Esophagus,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
71,"RF guidance pelebaran nefrostomi, ureter, atau uretra",Permintaan & Hasil,88834-7,"RF Guidance for dilation of nephrostomy tract, ureter, or urethra",Guidance for dilation,Find,Pt,Abdomen>Kidney & Abdomen+Pelvis>Ureter & Pelvis>Urethra,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
72,RF guidance pemasangan alat pacu jantung,Permintaan & Hasil,X099260,RF guidance pemasangan alat pacu jantung,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.0,2/13/2023,2/13/2023
73,RF guidance pemasangan kateter intra pelvis renalis secara perkutan untuk injeksi atau drainase;,Permintaan & Hasil,24779-1,RF Guidance for percutaneous placement of nephrostomy tube of Kidney - bilateral-- W contrast via tube,Guidance for percutaneous placement of nephrostomy tube^W contrast via tube,Find,Pt,Abdomen>Kidney.bilateral,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
74,"RF guidance pengangkatan batu duktus biliaris pasca operasi, perkutaneus melalui saluran T-tube, basket, atau snare (seperti, teknik Burhenne), ",Permintaan & Hasil,24570-4,RF Guidance for removal of calculus from Biliary duct common-- W contrast retrograde intra biliary,Guidance for removal of calculus^W contrast retrograde intra biliary,Find,Pt,Abdomen>Biliary duct.common,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
75,RF guidance pengangkatan benda asing esofagus,Permintaan & Hasil,30628-2,RF Guidance for removal of foreign body of Unspecified body region,Guidance for substance removal of foreign body,Find,Pt,XXX,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
76,RF guidance untuk biopsi hati dengan kontras IV ,Permintaan & Hasil,44225-1,RF Guidance for biopsy of Liver-- W contrast IV,Guidance for percutaneous biopsy^W contrast IV,Find,Pt,Abdomen>Liver,Doc,RF,,http://loinc.org,,,,2.17,2.64,1.0,1.1,13/02/2023,15/11/2023
77,RF guidance untuk biopsi perkutan hati,Permintaan & Hasil,35900-0,RF Guidance for percutaneous biopsy of Liver,Guidance for percutaneous biopsy,Find,Pt,Abdomen>Liver,Doc,RF,,http://loinc.org,,,,2.14,2.64,1.0,1.1,13/02/2023,15/11/2023
78,RF histerosalfingografi (HSG),Permintaan & Hasil,25022-5,RF Uterus and Fallopian tubes Views W contrast IU,Views^W contrast IU,Find,Pt,Pelvis>Uterus+Fallopian tubes,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
79,RF intra-operatif cholangiografi,Permintaan & Hasil,24574-6,RF Biliary ducts and Gallbladder Views during surgery W contrast biliary duct,Views^during surgery W contrast biliary duct,Find,Pt,Abdomen>Biliary ducts+Gallbladder,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
80,RF kateterisasi endoskopi sistem duktus biliaris,Permintaan & Hasil,44214-5,RF Guidance for endoscopy of Biliary ducts-- W contrast retrograde,Guidance for endoscopy^W contrast retrograde,Find,Pt,Abdomen>Biliary ducts,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
81,RF kateterisasi endoskopi sistem duktus pankreatikus,Permintaan & Hasil,44213-7,RF Guidance for endoscopy of Pancreatic duct-- W contrast retrograde,Guidance for endoscopy^W contrast retrograde,Find,Pt,Abdomen>Pancreatic duct,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
82,RF kateterisasi transcervical tuba fallopii,Permintaan & Hasil,86403-3,RF Guidance for placement of catheter in Fallopian tube,Guidance for placement of catheter,Find,Pt,Pelvis>Fallopian tube,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
83,RF kolangiografi dan pankreatografi intraoperatif,Permintaan & Hasil,24574-6,RF Biliary ducts and Gallbladder Views during surgery W contrast biliary duct,Views^during surgery W contrast biliary duct,Find,Pt,Abdomen>Biliary ducts+Gallbladder,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
84,RF kolangiografi dan/atau pankreatografi melalui kateter yang telah ada,Permintaan & Hasil,86376-1,RF Biliary ducts Views W contrast via existing catheter,Views^W contrast via existing catheter,Find,Pt,Abdomen>Biliary ducts,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
85,RF kolangiografi perkutaneus transhepatik,Permintaan & Hasil,24575-3,RF Biliary ducts and Gallbladder Views W contrast percutaneous transhepatic,Views^W contrast percutaneous transhepatic,Find,Pt,Abdomen>Biliary ducts+Gallbladder,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
86,RF kolon dengan barium enema,Permintaan & Hasil,44227-7,RF Colon Views W barium contrast PR,Views^W barium contrast PR,Find,Pt,Abdomen+Pelvis>Colon,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
87,"RF kombinasi kateterisasi endoskopi sistem duktus bilier dan pankreatikus,",Permintaan & Hasil,30815-5,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- W contrast retrograde,Guidance for endoscopy^W contrast retrograde,Find,Pt,Abdomen>Biliary ducts+pancreatic duct,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
88,RF laringografi kontras,Permintaan & Hasil,48465-9,RF Larynx Views,Views,Find,Pt,Head+Neck>Larynx,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
89,RF lopografi,Permintaan & Hasil,37567-5,RF Colon Views W contrast via colostomy,Views^W contrast via colostomy,Find,Pt,Abdomen+Pelvis>Colon,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
90,RF lopografi distal,Permintaan & Hasil,86379-5,RF Small bowel Views for loop diversion,Views for loop diversion,Find,Pt,Abdomen>Small bowel,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
91,RF lopografi proksimal,Permintaan & Hasil,86379-5,RF Small bowel Views for loop diversion,Views for loop diversion,Find,Pt,Abdomen>Small bowel,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
92,RF maagduodenography,Permintaan & Hasil,42459-8,RF Gastrointestinal tract upper Views W contrast PO,Views^W contrast PO,Find,Pt,Abdomen>Gastrointestinal tract.upper,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
93,RF MCU (Micturating Cysto Urethrography),Permintaan & Hasil,43559-4,RF Urinary bladder and Urethra Views W contrast intra bladder during voiding,Views^W contrast intra bladder+during voiding,Find,Pt,Pelvis>Urinary bladder+Urethra,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
94,RF mielografi cervical,Permintaan & Hasil,24947-4,RF Cervical spine Views W contrast IT,Views^W contrast IT,Find,Pt,Neck>Spine.cervical,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
95,"RF mielografi cervical, thoracal, lumbal",Permintaan & Hasil,30808-0,RF Cervical and thoracic and lumbar spine Views W contrast IT,Views^W contrast IT,Find,Pt,Neck>Spine.cervical & Chest>Spine.thoracic & Abdomen>Spine.lumbar,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
96,RF mielografi fossa posterior dengan kontras IT,Permintaan & Hasil,30811-4,RF Posterior fossa Views W contrast IT,Views^W contrast IT,Find,Pt,Head>Posterior fossa,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
97,RF mielografi lumbal degan kontras,Permintaan & Hasil,24974-8,RF Lumbar spine Views W contrast IT,Views^W contrast IT,Find,Pt,Abdomen>Spine.lumbar,Doc,RF,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
