Nomor,Kategori/Kelompok Pemeriksaan,Nama Pemeriksaan,Permintaan/Hasil,Spesimen,Tipe hasil pemeriksaan,Satuan,Metode Analisis,Code,Display,Component,Property,Timing,System,Scale,Method,Example UCUM Units,Code System,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO)
12,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam sputum 3,Permintaan & Hasil,Sputum ,Nominal,,Acid fast stain,94857-0,Microscopic observation [Presence] in Sputum by Acid fast stain --3rd specimen,Microscopic observation^3rd specimen,PrThr,Pt,Sputum,Ord,Acid fast stain,,http://loinc.org,2.68,2.68,1.0,1.0
13,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam swab ,Permintaan & Hasil,Swab ,Nominal,,Acid fast stain,11545-1,Microscopic observation [Identifier] in Specimen by Acid fast stain,Microscopic observation,Prid,Pt,XXX,Nom,Acid fast stain,,http://loinc.org,1.0j-a,2.73,1.0,1.0
14,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam cairan vitreus,Permintaan & Hasil,Cairan vitreus,Nominal,,Acid fast stain,88155-7,Microscopic observation [Identifier] in Ocular fluid by Acid fast stain,Microscopic observation,Prid,Pt,Ocular fld,Nom,Acid fast stain,,http://loinc.org,2.63,2.63,1.0,1.0
15,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam cairan otak,Permintaan & Hasil,Cairan otak,Nominal,,Acid fast stain,32188-5,Microscopic observation [Identifier] in Cerebral spinal fluid by Acid fast stain,Microscopic observation,Prid,Pt,CSF,Nom,Acid fast stain,,http://loinc.org,2.07,2.73,1.0,1.0
16,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam urin,Permintaan & Hasil,Urine,Nominal,,Acid fast stain,11480-1,Microscopic observation [Identifier] in Urine by Acid fast stain,Microscopic observation,Prid,Pt,Urine,Nom,Acid fast stain,,http://loinc.org,1.0j-a,2.73,1.0,1.0
17,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam lain-lain,Permintaan & Hasil,Lain-lain,Nominal,,Acid fast stain.Ziehl-Neelsen,656-9,Microscopic observation [Identifier] in Specimen by Acid fast stain.Ziehl-Neelsen,Microscopic observation,Prid,Pt,XXX,Nom,Acid fast stain.Ziehl-Neelsen,,http://loinc.org,1.0,2.73,1.0,1.0
18,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam lain-lain ,Permintaan & Hasil,Lain-lain,Nominal,,Acid fast stain,11545-1,Microscopic observation [Identifier] in Specimen by Acid fast stain,Microscopic observation,Prid,Pt,XXX,Nom,Acid fast stain,,http://loinc.org,1.0j-a,2.73,1.0,1.0
19,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam cairan tubuh,Permintaan & Hasil,Cairan tubuh ,Nominal,,Acid fast stain,32189-3,Microscopic observation [Identifier] in Body fluid by Acid fast stain,Microscopic observation,Prid,Pt,Body fld,Nom,Acid fast stain,,http://loinc.org,2.07,2.73,1.0,1.0
20,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam kulit,Hasil,Preparat Lepra,Nominal,,Acid fast stain,94543-6,Microscopic observation [Identifier] in Skin by Acid fast stain,Microscopic observation,Prid,Pt,Skin,Nom,Acid fast stain,,http://loinc.org,2.68,2.68,1.0,1.0
21,Mikrobiologi Klinik,Pewarnaan lepra ,Permintaan & Hasil,Slit skin ,Nominal,,,MK099921,Pewarnaan lepra ,,,Pt,Slit skin ,Nominal,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
22,Mikrobiologi Klinik,Pewarnaan diphtheria,Permintaan & Hasil,Lain-lain,Nominal,,Neisser stain,672-6,Microscopic observation [Identifier] in Specimen by Neisser stain,Microscopic observation,Prid,Pt,XXX,Nom,Neisser stain,,http://loinc.org,1.0,2.69,1.0,1.0
23,Mikrobiologi Klinik,Pewarnaan diphtheria,Permintaan & Hasil,Lain-lain,Nominal,,Albert stain ,MK099851,Microscopic observation [Identifier] in Specimen by Albert stain,,,Pt,Lain-lain,Nominal,Albert stain ,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
24,Mikrobiologi Klinik,Pewarnaan diphtheria,Permintaan & Hasil,Lain-lain,Nominal,,,MK099852,Microscopic observation [Identifier] in Specimen ,,,Pt,Lain-lain,Nominal,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
25,Mikrobiologi Klinik,Pewarnaan jamur kuku,Permintaan & Hasil,Kuku ,Nominal,,,MK099913,Microscopic fungal observation [Identifier] in Nail ,,,Pt,Kuku ,Nominal,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
26,Mikrobiologi Klinik,Pewarnaan jamur kulit ,Permintaan & Hasil,Kulit,Nominal,,,MK099914,Microscopic fungal observation [Identifier] in Skin,,,Pt,Kulit,Nominal,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
27,Mikrobiologi Klinik,Pewarnaan jamur bronkus,Permintaan & Hasil,Cairan bronkus ,Nominal,,,MK099915,Microscopic fungal observation [Identifier] in Bronchus,,,Pt,Cairan bronkus ,Nominal,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
28,Mikrobiologi Klinik,Pewarnaan jamur sputum ,Permintaan & Hasil,Sputum,Nominal,,,MK099916,Microscopic fungal observation [Identifier] in Sputum,,,Pt,Sputum,Nominal,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
29,Mikrobiologi Klinik,Pewarnaan jamur vagina,Permintaan & Hasil,Cairan vagina ,Nominal,,,MK099917,Microscopic fungal observation [Identifier] in Vagina,,,Pt,Cairan vagina ,Nominal,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
30,Mikrobiologi Klinik,Pewarnaan jamur lain-lain,Permintaan & Hasil,Lain-lain,Nominal,,,MK099918,Microscopic fungal observation [Identifier] in Specimen,,,Pt,Lain-lain,Nominal,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
31,Mikrobiologi Klinik,Pewarnaan jamur (KOH) kuku,Permintaan & Hasil,Kuku,Nominal,,KOH,10689-8,Microscopic observation [Identifier] in Nail by KOH preparation,Microscopic observation,Prid,Pt,Nail,Nom,KOH preparation,,http://loinc.org,1.0i,2.73,1.0,1.0
32,Mikrobiologi Klinik,Pewarnaan jamur (KOH) kulit,Permintaan & Hasil,Kulit,Nominal,,KOH,644-5,Microscopic observation [Identifier] in Skin by KOH preparation,Microscopic observation,Prid,Pt,Skin,Nom,KOH preparation,,http://loinc.org,1.0,2.73,1.0,1.0
33,Mikrobiologi Klinik,Pewarnaan jamur (KOH) bronkus,Permintaan & Hasil,Bronkus,Nominal,,KOH,88685-3,Microscopic observation [Identifier] in Lower respiratory specimen by KOH preparation,Microscopic observation,Prid,Pt,Respiratory.lower,Nom,KOH preparation,,http://loinc.org,2.64,2.64,1.0,1.0
34,Mikrobiologi Klinik,Pewarnaan jamur (KOH) sputum,Permintaan & Hasil,Sputum,Nominal,,KOH,17281-7,Microscopic observation [Identifier] in Sputum by KOH preparation,Microscopic observation,Prid,Pt,Sputum,Nom,KOH preparation,,http://loinc.org,1.0l,2.58,1.0,1.0
35,Mikrobiologi Klinik,Pewarnaan jamur (KOH) vagina,Permintaan & Hasil,Vagina,Nominal,,KOH,14356-0,Microscopic observation [Identifier] in Vaginal fluid by KOH preparation,Microscopic observation,Prid,Pt,Vag,Nom,KOH preparation,,http://loinc.org,1.0k,2.73,1.0,1.0
36,Mikrobiologi Klinik,Pewarnaan jamur (KOH) lain-lain,Permintaan & Hasil,Lain-lain,Nominal,,KOH,667-6,Microscopic observation [Identifier] in Specimen by KOH preparation,Microscopic observation,Prid,Pt,XXX,Nom,KOH preparation,,http://loinc.org,1.0,2.73,1.0,1.0
37,Mikrobiologi Klinik,Pewarnaan jamur (gram stain) lain-lain ,Permintaan & Hasil,Lain-lain,Nominal,,Gram stain,MK099919,Microscopic observation [Identifier] in Specimen by Gram stain,,,Pt,Lain-lain,Nominal,Gram stain,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
38,Mikrobiologi Klinik,Pewarnaan gram lain-lain,Permintaan & Hasil,Lain-lain,Nominal,,Gram stain,664-3,Microscopic observation [Identifier] in Specimen by Gram stain,Microscopic observation,Prid,Pt,XXX,Nom,Gram stain,,http://loinc.org,1.0,2.73,1.0,1.0
39,Mikrobiologi Klinik,Pewarnaan gram darah,Permintaan & Hasil,Serum/Plasma,Nominal,,Gram stain,87969-2,Microscopic observation [Identifier] in Blood by Gram stain,Microscopic observation,Prid,Pt,Bld,Nom,Gram stain,,http://loinc.org,2.63,2.63,1.0,1.0
40,Mikrobiologi Klinik,Pewarnaan gram tinja,Permintaan & Hasil,Feses,Nominal,,Gram stain,649-4,Microscopic observation [Identifier] in Stool by Gram stain,Microscopic observation,Prid,Pt,Stool,Nom,Gram stain,,http://loinc.org,1.0,2.73,1.0,1.0
41,Mikrobiologi Klinik,Pewarnaan gram pus,Permintaan & Hasil,Pus,Nominal,,Gram stain,643-7,Microscopic observation [Identifier] in Pus by Gram stain,Microscopic observation,Prid,Pt,Pus,Nom,Gram stain,,http://loinc.org,1.0,2.21,1.0,1.0
42,Mikrobiologi Klinik,Pewarnaan gram sputum,Permintaan & Hasil,Sputum,Nominal,,Gram stain,648-6,Microscopic observation [Identifier] in Sputum by Gram stain,Microscopic observation,Prid,Pt,Sputum,Nom,Gram stain,,http://loinc.org,1.0,2.73,1.0,1.0
43,Mikrobiologi Klinik,Pewarnaan gram swab,Permintaan & Hasil,Swab,Nominal,,Gram stain,664-3,Microscopic observation [Identifier] in Specimen by Gram stain,Microscopic observation,Prid,Pt,XXX,Nom,Gram stain,,http://loinc.org,1.0,2.73,1.0,1.0
44,Mikrobiologi Klinik,Pewarnaan gram urine,Permintaan & Hasil,Urine,Nominal,,Gram stain,653-6,Microscopic observation [Identifier] in Urine by Gram stain,Microscopic observation,Prid,Pt,Urine,Nom,Gram stain,,http://loinc.org,1.0,2.73,1.0,1.0
45,Mikrobiologi Klinik,Pewarnaan gram pleura,Permintaan & Hasil,Cairan pleura,Nominal,,Gram stain,14360-2,Microscopic observation [Identifier] in Pleural fluid by Gram stain,Microscopic observation,Prid,Pt,Plr fld,Nom,Gram stain,,http://loinc.org,1.0k,2.19,1.0,1.0
46,Mikrobiologi Klinik,Pewarnaan gram asites,Permintaan & Hasil,Cairan asites,Nominal,,Gram stain,14359-4,Microscopic observation [Identifier] in Peritoneal fluid by Gram stain,Microscopic observation,Prid,Pt,Periton fld,Nom,Gram stain,,http://loinc.org,1.0k,2.19,1.0,1.0
47,Mikrobiologi Klinik,Pewarnaan gram cairan tubuh,Permintaan & Hasil,Cairan tubuh,Nominal,,Gram stain,27112-2,Microscopic observation [Identifier] in Body fluid by Gram stain,Microscopic observation,Prid,Pt,Body fld,Nom,Gram stain,,http://loinc.org,2.0,2.73,1.0,1.0
48,Mikrobiologi Klinik,Pewarnaan GO lain-lain,Permintaan & Hasil,Lain-lain,Nominal,,Gram stain,664-3,Microscopic observation [Identifier] in Specimen by Gram stain,Microscopic observation,Prid,Pt,XXX,Nom,Gram stain,,http://loinc.org,1.0,2.73,1.0,1.0
49,Mikrobiologi Klinik,Pewarnaan GO sputum,Permintaan & Hasil,Sputum,Nominal,,Gram stain,648-6,Microscopic observation [Identifier] in Sputum by Gram stain,Microscopic observation,Prid,Pt,Sputum,Nom,Gram stain,,http://loinc.org,1.0,2.73,1.0,1.0
50,Mikrobiologi Klinik,Pewarnaan GO genital,Permintaan & Hasil,Genital,Nominal,,Gram stain,48712-4,Microscopic observation [Identifier] in Genital specimen by Gram stain,Microscopic observation,Prid,Pt,Genital,Nom,Gram stain,,http://loinc.org,2.21,2.73,1.0,1.0
51,Mikrobiologi Klinik,Pewarnaan GO swab tenggorok,Permintaan & Hasil,Swab tenggorok ,Nominal,,Gram stain,MK099857,Microscopic observation [Identifier] in Swab specimen by Gram stain,,,Pt,Swab tenggorok ,Nominal,Gram stain,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
52,Mikrobiologi Klinik,Pewarnaan GO konjungtiva,Permintaan & Hasil,Konjungtiva ,Nominal,,Gram stain,MK099858,Microscopic observation [Identifier] in Conjungtiva specimen by Gram stain,,,Pt,Konjungtiva ,Nominal,Gram stain,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
53,Mikrobiologi Klinik,Pewarnaan Trichomonas vagina,Permintaan & Hasil,Vagina,Ordinal,,Wet preparation,14367-7,Trichomonas vaginalis [Presence] in Vaginal fluid by Wet preparation,Trichomonas vaginalis,PrThr,Pt,Vag,Ord,Wet preparation,,http://loinc.org,1.0k,2.73,1.0,1.0
54,Mikrobiologi Klinik,Pewarnaan Trichomonas uretra,Permintaan & Hasil,Uretra,Ordinal,,Wet preparation,14368-5,Trichomonas vaginalis [Presence] in Urethra by Wet preparation,Trichomonas vaginalis,PrThr,Pt,Urethra,Ord,Wet preparation,,http://loinc.org,1.0k,2.73,1.0,1.0
55,Mikrobiologi Klinik,Pewarnaan Trichomonas serviks,Permintaan & Hasil,Serviks,Ordinal,,Wet preparation,14366-9,Trichomonas vaginalis [Presence] in Cervix by Wet preparation,Trichomonas vaginalis,PrThr,Pt,Cvx,Ord,Wet preparation,,http://loinc.org,1.0k,2.73,1.0,1.0
56,Mikrobiologi Klinik,Pewarnaan Trichomonas genital,Permintaan & Hasil,Genital,Ordinal,,Wet preparation,6565-6,Trichomonas vaginalis [Presence] in Genital specimen by Wet preparation,Trichomonas vaginalis,PrThr,Pt,Genital,Ord,Wet preparation,,http://loinc.org,1.0g,2.73,1.0,1.0
57,Mikrobiologi Klinik,Bacterial vaginosis,Permintaan ,Cairan tubuh,Quantitative,,,MK099792,Bacterial vaginosis,,,Pt,Cairan tubuh,Quantitative,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
58,Mikrobiologi Klinik,Lactobacillus,Hasil ,Cairan tubuh,Quantitative,,,X099215,Lactobacillus,,,Pt,Vag,Qn,,,http://loinc.org,,,1.0,1.0
59,Mikrobiologi Klinik,Morbiluncus,Hasil ,Cairan tubuh,Quantitative,,,X099216,Morbiluncus,,,Pt,Vag,Qn,,,http://loinc.org,,,1.0,1.0
60,Mikrobiologi Klinik,Gardnerella,Hasil ,Cairan tubuh,Quantitative,,,X099217,Gardnerella,,,Pt,Vag,Qn,,,http://loinc.org,,,1.0,1.0
61,Mikrobiologi Klinik,Clue cell,Permintaan & Hasil,Cairan vagina,Quantitative,/LPB,Mikroskopik,44241-8,Clue cell,Clue cells,Naric,Pt,Vag,Qn,Microscopy.light.LPF,,http://loinc.org,2.17,2.73,1.0,1.0
62,Mikrobiologi Klinik,Clue cell,Permintaan & Hasil,Cairan vagina,Ordinal,,Wet preparation,20502-1,Clue cell,Clue cells,PrThr,Pt,Vag,Ord,Wet preparation,,http://loinc.org,1.0m,2.73,1.0,1.0
63,Mikrobiologi Klinik,Biakan aerob aspirat,Permintaan & Hasil,Aspirat ,Nominal,,Aerob,597-5,Bacteria identified in Aspirate by Aerobe culture,Bacteria identified,Prid,Pt,Asp,Nom,Aerobic culture,,http://loinc.org,1.0,2.73,1.0,1.0
64,Mikrobiologi Klinik,Biakan aerob aspirat dan uji kepekaan ,Permintaan & Hasil,Aspirat ,Nominal,,Aerob,MK099793,Biakan aerob aspirat dan uji kepekaan ,,,Pt,Aspirat ,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
65,Mikrobiologi Klinik,Biakan aerob bronchoalveolar lavage,Permintaan & Hasil,Bronchoalveolar lavage,Nominal,,Aerob,43441-5,Bacteria identified in Bronchoalveolar lavage by Aerobe culture,Bacteria identified,Prid,Pt,BAL,Nom,Aerobic culture,,http://loinc.org,2.17,2.73,1.0,1.0
66,Mikrobiologi Klinik,Biakan aerob bronchoalveolar lavage dan uji kepekaan,Permintaan & Hasil,Bronchoalveolar lavage,Nominal,,Aerob,MK099794,Biakan aerob bronchoalveolar lavage dan uji kepekaan,,,Pt,Bronchoalveolar lavage,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
67,Mikrobiologi Klinik,Biakan aerob bronkus,Permintaan & Hasil,Bronkus,Nominal,,Aerob,604-9,Bacteria identified in Bronchial specimen by Aerobe culture,Bacteria identified,Prid,Pt,Bronchial,Nom,Aerobic culture,,http://loinc.org,1.0,2.73,1.0,1.0
68,Mikrobiologi Klinik,Biakan aerob bronkus dan uji kepekaan,Permintaan & Hasil,Bronkus,Nominal,,Aerob,MK099795,Biakan aerob bronkus dan uji kepekaan,,,Pt,Bronkus,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
69,Mikrobiologi Klinik,Biakan aerob cairan amnion,Permintaan & Hasil,Cairan amnion,Nominal,,Aerob,87929-6,Bacteria identified in Amniotic fluid by Aerobe culture,Bacteria identified,Prid,Pt,Amnio fld,Nom,Aerobic culture,,http://loinc.org,2.63,2.63,1.0,1.0
70,Mikrobiologi Klinik,Biakan aerob amnion dan uji kepekaan,Permintaan & Hasil,Cairan amnion,Nominal,,Aerob,MK099796,Biakan aerob cairan amnion dan uji kepekaan,,,Pt,Cairan amnion,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
71,Mikrobiologi Klinik,Biakan aerob cairan duodenum,Permintaan & Hasil,Cairan duodenum,Nominal,,Aerob,53617-7,Bacteria identified in Duodenal fluid by Aerobe culture,Bacteria identified,Prid,Pt,Duod fld,Nom,Aerobic culture,,http://loinc.org,2.26,2.73,1.0,1.0
72,Mikrobiologi Klinik,Biakan aerob cairan duodenum dan uji kepekaan,Permintaan & Hasil,Cairan duodenum,Nominal,,Aerob,MK099797,Biakan aerob cairan duodenum dan uji kepekaan,,,Pt,Cairan duodenum,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
73,Mikrobiologi Klinik,Biakan aerob cairan empedu,Permintaan & Hasil,Cairan empedu,Nominal,,Aerob,90270-0,Bacteria identified in Bile fluid by Aerobe culture,Bacteria identified,Prid,Pt,Bil fld,Nom,Aerobic culture,,http://loinc.org,2.65,2.65,1.0,1.0
74,Mikrobiologi Klinik,Biakan aerob cairan empedu dan uji kepekaan,Permintaan & Hasil,Cairan empedu,Nominal,,Aerob,MK099798,Biakan aerob cairan empedu dan uji kepekaan,,,Pt,Cairan empedu,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
75,Mikrobiologi Klinik,Biakan aerob cairan mata,Permintaan & Hasil,Cairan mata,Nominal,,Aerob,88141-7,Bacteria identified in Ocular fluid by Aerobe culture,Bacteria identified,Prid,Pt,Ocular fld,Nom,Aerobic culture,,http://loinc.org,2.63,2.63,1.0,1.0
76,Mikrobiologi Klinik,Biakan aerob cairan mata dan uji kepekaan,Permintaan & Hasil,Cairan mata,Nominal,,Aerob,MK099799,Biakan aerob cairan mata dan uji kepekaan,,,Pt,Cairan mata,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
77,Mikrobiologi Klinik,Biakan aerob cairan otak,Permintaan & Hasil,Cairan otak,Nominal,,Aerob,88236-5,Bacteria identified in Cerebral spinal fluid by Aerobe culture,Bacteria identified,Prid,Pt,CSF,Nom,Aerobic culture,,http://loinc.org,2.63,2.63,1.0,1.0
78,Mikrobiologi Klinik,Biakan aerob cairan otak dan uji kepekaan,Permintaan & Hasil,Cairan otak,Nominal,,Aerob,MK099800,Biakan aerob cairan otak dan uji kepekaan,,,Pt,Cairan otak,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
79,Mikrobiologi Klinik,Biakan aerob cairan perikardial,Permintaan & Hasil,Cairan perikardial,Nominal,,Aerob,90271-8,Bacteria identified in Pericardial fluid by Aerobe culture,Bacteria identified,Prid,Pt,Pericard fld,Nom,Aerobic culture,,http://loinc.org,2.65,2.65,1.0,1.0
80,Mikrobiologi Klinik,Biakan aerob cairan perikardial dan uji kepekaan,Permintaan & Hasil,Cairan perikardial,Nominal,,Aerob,MK099801,Biakan aerob cairan perikardial dan uji kepekaan,,,Pt,Cairan perikardial,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
81,Mikrobiologi Klinik,Biakan aerob cairan peritoneal,Permintaan & Hasil,Cairan peritoneal,Nominal,,Aerob,90281-7,Bacteria identified in Peritoneal fluid by Aerobe culture,Bacteria identified,Prid,Pt,Periton fld,Nom,Aerobic culture,,http://loinc.org,2.65,2.65,1.0,1.0
82,Mikrobiologi Klinik,Biakan aerob cairan peritoneal dan uji kepekaan,Permintaan & Hasil,Cairan peritoneal,Nominal,,Aerob,MK099802,Biakan aerob cairan peritoneal dan uji kepekaan,,,Pt,Cairan peritoneal,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
83,Mikrobiologi Klinik,Biakan aerob cairan peritoneal dialisis,Permintaan & Hasil,Cairan peritoneal dialisis,Nominal,,Aerob,90280-9,Bacteria identified in Peritoneal dialysis fluid by Aerobe culture,Bacteria identified,Prid,Pt,Dial fld prt,Nom,Aerobic culture,,http://loinc.org,2.65,2.65,1.0,1.0
84,Mikrobiologi Klinik,Biakan aerob cairan peritoneal dialisis dan uji kepekaan,Permintaan & Hasil,Cairan peritoneal dialisis,Nominal,,Aerob,MK099803,Biakan aerob cairan peritoneal dialisis dan uji kepekaan,,,Pt,Cairan peritoneal dialisis,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
85,Mikrobiologi Klinik,Biakan aerob cairan pleura,Permintaan & Hasil,Cairan pleura,Nominal,,Aerob,17279-1,Bacteria identified in Pleural fluid by Aerobe culture,Bacteria identified,Prid,Pt,Plr fld,Nom,Aerobic culture,,http://loinc.org,1.0l,2.73,1.0,1.0
86,Mikrobiologi Klinik,Biakan aerob cairan pleura dan uji kepekaan,Permintaan & Hasil,Cairan pleura,Nominal,,Aerob,MK099804,Biakan aerob cairan pleura dan uji kepekaan,,,Pt,Cairan pleura,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
87,Mikrobiologi Klinik,Biakan aerob cairan sinovial,Permintaan & Hasil,Cairan sinovial,Nominal,,Aerob,90278-3,Bacteria identified in Synovial fluid by Aerobe culture,Bacteria identified,Prid,Pt,Synv fld,Nom,Aerobic culture,,http://loinc.org,2.65,2.65,1.0,1.0
88,Mikrobiologi Klinik,Biakan aerob cairan sinovial dan uji kepekaan,Permintaan & Hasil,Cairan sinovial,Nominal,,Aerob,MK099805,Biakan aerob cairan sinovial dan uji kepekaan,,,Pt,Cairan sinovial,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
89,Mikrobiologi Klinik,Biakan aerob cairan tubuh,Permintaan & Hasil,Cairan tubuh,Nominal,,Aerob,610-6,Bacteria identified in Body fluid by Aerobe culture,Bacteria identified,Prid,Pt,Body fld,Nom,Aerobic culture,,http://loinc.org,1.0,2.73,1.0,1.0
90,Mikrobiologi Klinik,Biakan aerob cairan tubuh dan uji kepekaan,Permintaan & Hasil,Cairan tubuh,Nominal,,Aerob,MK099806,Biakan aerob cairan tubuh dan uji kepekaan,,,Pt,Cairan tubuh,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
91,Mikrobiologi Klinik,Biakan aerob cairan vagina,Permintaan & Hasil,Cairan vagina,Nominal,,Aerob,11261-5,Bacteria identified in Vaginal fluid by Aerobe culture,Bacteria identified,Prid,Pt,Vag,Nom,Aerobic culture,,http://loinc.org,1.0j-a,2.73,1.0,1.0
92,Mikrobiologi Klinik,Biakan aerob cairan vagina dan uji kepekaan,Permintaan & Hasil,Cairan vagina,Nominal,,Aerob,MK099807,Biakan aerob cairan vagina dan uji kepekaan,,,Pt,Cairan vagina,Nominal,Aerob,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
