IDKategori,Nama Pemeriksaan,Permintaan/Hasil,Spesimen,Tipe hasil pemeriksaan,Satuan,Metode Analisis,Code,Display,Component,Property,Timing,System,Scale,Method,Unit of Measure,Code System
3,SBC,Hasil ,Darah arteri ,Quantitative,mmol/L,,19230-2,Bicarbonate [Moles/volume] standard in Arterial blood,Bicarbonate^^standard,SCnc,Pt,BldA,Qn,,mmol/L,http://loinc.org
3,Saturasi O2,Permintaan & Hasil,Darah arteri ,Quantitative,%,,2708-6,Oxygen saturation in Arterial blood,Oxygen saturation,MFr,Pt,BldA,Qn,,%,http://loinc.org
3,Ca Ion,Permintaan & Hasil,Darah arteri ,Quantitative,mmol/L,,34581-9,Calcium.ionized [Moles/volume] in Arterial blood,Calcium.ionized,SCnc,Pt,BldA,Qn,,mmol/L,http://loinc.org
3,Glukosa Darah,Permintaan & Hasil,BldA,Quantitative,mmol/L,,39481-7,Glucose [Moles/volume] in Arterial blood,Glucose,SCnc,Pt,BldA,Qn,,mmol/L,http://loinc.org
3,Natrium,Permintaan & Hasil,BldA,Quantitative,mmol/L,,32717-1,Sodium [Moles/volume] in Arterial blood,Sodium,SCnc,Pt,BldA,Qn,,mmol/L,http://loinc.org
3,Kalium,Permintaan & Hasil,BldA,Quantitative,mmol/L,,32713-0,Potassium [Moles/volume] in Arterial blood,Potassium,SCnc,Pt,BldA,Qn,,mmol/L,http://loinc.org
3,Klorida,Permintaan & Hasil,BldA,Quantitative,mmol/L,,41650-3,Chloride [Moles/volume] in Arterial blood,Chloride,SCnc,Pt,BldA,Qn,,mmol/L,http://loinc.org
4,Hb,Permintaan & Hasil,Darah vena ,Quantitative,g/dL,,30350-3,Hemoglobin [Mass/volume] in Venous blood,Hemoglobin,MCnc,Pt,BldV,Qn,,g/dL,http://loinc.org
4,Hct,Permintaan & Hasil,Darah vena ,Quantitative,%,,41654-5,Hematocrit [Volume Fraction] of Venous blood,Hematocrit,VFr,Pt,BldV,Qn,,%,http://loinc.org
4,pH,Permintaan & Hasil,Darah vena ,Quantitative,[pH],,2746-6,pH of Venous blood,pH,LsCnc,Pt,BldV,Qn,,[pH],http://loinc.org
4,pCO2,Permintaan & Hasil,Darah vena ,Quantitative,mm[Hg],,2021-4,Carbon dioxide [Partial pressure] in Venous blood,Carbon dioxide,PPres,Pt,BldV,Qn,,mm[Hg],http://loinc.org
4,pO2,Permintaan & Hasil,Darah vena ,Quantitative,mm[Hg],,2705-2,Oxygen [Partial pressure] in Venous blood,Oxygen,PPres,Pt,BldV,Qn,,mm[Hg],http://loinc.org
4,HCO3,Permintaan & Hasil,Darah vena ,Quantitative,mmol/L,,14627-4,Bicarbonate [Moles/volume] in Venous blood,Bicarbonate,SCnc,Pt,BldV,Qn,,mmol/L,http://loinc.org
4,tCO2,Permintaan & Hasil,Darah vena ,Quantitative,mmol/L,Calculated,48391-7,"Carbon dioxide, total [Moles/volume] in Venous blood by calculation",Carbon dioxide,SCnc,Pt,BldV,Qn,Calculated,mmol/L,http://loinc.org
4,Actual BE (Blood),Hasil ,Darah vena ,Quantitative,mmol/L,Calculated,1927-3,Base excess in Venous blood by calculation,Base excess,SCnc,Pt,BldV,Qn,Calculated,mmol/L,http://loinc.org
4,Standard BE (ecf),Hasil ,Darah vena ,Quantitative,mmol/L,Calculated,19237-7,Base excess standard in Venous blood by calculation,Base excess^^standard,SCnc,Pt,BldV,Qn,Calculated,mmol/L,http://loinc.org
4,SBC,Hasil ,Darah vena ,Quantitative,mmol/L,,19232-8,Bicarbonate [Moles/volume] standard in Venous blood,Bicarbonate^^standard,SCnc,Pt,BldV,Qn,,mmol/L,http://loinc.org
4,Saturasi O2,Permintaan & Hasil,Darah vena ,Quantitative,%,,2711-0,Oxygen saturation in Venous blood,Oxygen saturation,MFr,Pt,BldV,Qn,,%,http://loinc.org
4,Mg Ion,Permintaan & Hasil,Serum/Plasma ,Quantitative,mmol/L,,2600-5,Magnesium Ionized [Moles/volume] in Serum or Plasma,Magnesium.ionized,SCnc,Pt,Ser/Plas,Qn,,mmol/L,http://loinc.org
4,Glukosa Darah,Permintaan & Hasil,Darah vena ,Quantitative,mg/dL,,41652-9,Glucose [Mass/volume] in Venous blood,Glucose,MCnc,Pt,BldV,Qn,,mg/dL,http://loinc.org
4,Natrium,Permintaan & Hasil,Darah vena ,Quantitative,mmol/L,,39791-9,Sodium [Moles/volume] in Venous blood,Sodium,SCnc,Pt,BldV,Qn,,mmol/L,http://loinc.org
4,Kalium,Permintaan & Hasil,Darah vena ,Quantitative,mmol/L,,39789-3,Potassium [Moles/volume] in Venous blood,Potassium,SCnc,Pt,BldV,Qn,,mmol/L,http://loinc.org
4,Chlorida,Permintaan & Hasil,Darah vena ,Quantitative,mmol/L,,41649-5,Chloride [Moles/volume] in Venous blood,,SCnc,Pt,BldV,Qn,,mmol/L,http://loinc.org
5,Autopsi klinik jaringan ,Permintaan & Hasil,Jaringan ,Naratif ,,,PA099803,Autopsi klinik jaringan ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
6,Tes Coomb's direk,Permintaan & Hasil,Darah,Ordinal,,,1007-4,Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells,Direct antiglobulin test.polyspecific reagent,PrThr,Pt,RBC,Ord,,,http://loinc.org
6,Tes Coomb's indirek,Permintaan & Hasil,Darah,Ordinal,,,1003-3,Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,Indirect antiglobulin test.complement specific reagent,PrThr,Pt,Ser/Plas,Ord,,,http://loinc.org
6,Cross Match,Permintaan,Darah,Nominal,,,34531-4,Blood type and Crossmatch panel - Blood,Blood type & Crossmatch panel,-,Pt,Bld,-,,,http://loinc.org
6,Inkompatibilitas ABO,Permintaan & Hasil,Darah,Ordinal,,,890-4,Blood group antibody screen [Presence] in Serum or Plasma,Blood group antibody screen,PrThr,Pt,Ser/Plas,Ord,,,http://loinc.org
6,Cross Match,Hasil,Darah,Nominal,,,1250-0,Major crossmatch [Interpretation],Major crossmatch,Imp,Pt,Ser/Plas,Nom,,,http://loinc.org
6,Titer Anti-ABO,Permintaan & Hasil,Darah,Quantitative,,,X099080,Titer Anti-ABO,,,Pt,Bld,Qn,,,http://terminology.kemkes.go.id/CodeSystem/examination
6,Golongan darah (konfirmasi),Permintaan & Hasil,Darah,Nominal,,,57743-7,ABO group [Type] in Blood by Confirmatory method,ABO group,Type,Pt,Bld,Nom,Confirm,,http://loinc.org
7,Hitung Jenis PMN,Hasil ,Cairan tubuh ,Quantitative,%,,26518-1,Polymorphonuclear cells/100 leukocytes in Body fluid,Polymorphonuclear cells/100 leukocytes,NFr,Pt,Body fld,Qn,,%,http://loinc.org
7,Hitung Jenis Sel MN,Hasil ,Cairan tubuh ,Quantitative,%,,26493-7,Mononuclear cells/100 leukocytes in Body fluid,Mononuclear cells/100 leukocytes,NFr,Pt,Body fld,Qn,,%,http://loinc.org
7,Osmolalitas Cairan,Permintaan & Hasil,Cairan tubuh ,Quantitative,mosm/kg,,15200-9,Osmolality of Body fluid,Osmolality,Osmol,Pt,Body fld,Qn,,mosm/kg,http://loinc.org
7,Glukosa serum,Permintaan & Hasil,Serum/Plasma/Darah ,Quantitative,mg/dL,,74774-1,"Glucose [Mass/volume] in Serum, Plasma or Blood",Glucose,MCnc,Pt,Ser/Plas/Bld,Qn,,mg/dL,http://loinc.org
7,Albumin (serum),Permintaan & Hasil,Serum/Plasma,Quantitative,g/dL,,1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin,MCnc,Pt,Ser/Plas,Qn,,g/dL,http://loinc.org
7,Protein,Permintaan & Hasil,Serum/Plasma,Quantitative,g/dL,,2885-2,Protein [Mass/volume] in Serum or Plasma,Protein,MCnc,Pt,Ser/Plas,Qn,,g/dL,http://loinc.org
7,L.D.H,Permintaan & Hasil,Serum/Plasma,Quantitative,U/L,Reaction: pyruvate to lactate,14805-6,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Pyruvate to lactate reaction,Lactate dehydrogenase,CCnc,Pt,Ser/Plas,Qn,Reaction: pyruvate to lactate,U/L,http://loinc.org
7,Glukosa,Permintaan & Hasil,Serum/Plasma/Darah ,Quantitative,mg/dL,,74774-1,"Glucose [Mass/volume] in Serum, Plasma or Blood",Glucose,MCnc,Pt,Ser/Plas/Bld,Qn,,mg/dL,http://loinc.org
7,Trigliserid Cairan Pleura,Permintaan & Hasil,Cairan pleura ,Quantitative,mg/dL,,9619-8,Triglyceride [Mass/volume] in Pleural fluid,Triglyceride,MCnc,Pt,Plr fld,Qn,,mg/dL,http://loinc.org
7,Trigliserid Darah,Permintaan & Hasil,Serum/Plasma ,Quantitative,mg/dL,,2571-8,Triglyceride [Mass/volume] in Serum or Plasma,Triglyceride,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
7,Trigliserid Cairan Peritoneal,Permintaan & Hasil,Cairan peritoneal ,Quantitative,mg/dL,,14447-7,Triglyceride [Mass/volume] in Peritoneal fluid,Triglyceride,MCnc,Pt,Periton fld,Qn,,mg/dL,http://loinc.org
7,Protein (serum),Permintaan & Hasil,Serum/Plasma,Quantitative,g/dL,,2885-2,Protein [Mass/volume] in Serum or Plasma,Protein,MCnc,Pt,Ser/Plas,Qn,,g/dL,http://loinc.org
7,L.D.H (serum),Permintaan & Hasil,Serum/Plasma,Quantitative,U/L,Reaction: pyruvate to lactate,14805-6,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Pyruvate to lactate reaction,Lactate dehydrogenase,CCnc,Pt,Ser/Plas,Qn,Reaction: pyruvate to lactate,U/L,http://loinc.org
7,Glukosa (serum),Permintaan & Hasil,Serum/Plasma/Darah ,Quantitative,mg/dL,,74774-1,"Glucose [Mass/volume] in Serum, Plasma or Blood",Glucose,MCnc,Pt,Ser/Plas/Bld,Qn,,mg/dL,http://loinc.org
8,Volume,Hasil ,Cairan sendi ,Quantitative,mL,,34980-3,Volume of Synovial fluid,Specimen volume,Vol,Pt,Synv fld,Qn,,mL,http://loinc.org
9,Metamphetamin,Permintaan & Hasil,Urin,Quantitative,ug/mL,,3780-4,Methamphetamine [Mass/volume] in Urine,Methamphetamine,MCnc,Pt,Urine,Qn,,ug/mL,http://loinc.org
9,MDMA,Permintaan & Hasil,Urin,Quantitative,ng/mL,,19570-1,Methylenedioxymethamphetamine [Mass/volume] in Urine,Methylenedioxymethamphetamine,MCnc,Pt,Urine,Qn,,ng/mL,http://loinc.org
10,Lithium,Permintaan & Hasil,Darah,Nominal,,,X099322,Lithium,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan saraf pusat ,Permintaan & Hasil,Jaringan saraf pusat ,Naratif ,,,PA099429,FNAB jaringan saraf pusat ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan mata dan adneksa ,Permintaan & Hasil,Jaringan mata dan adneksa ,Naratif ,,,PA099430,FNAB jaringan mata dan adneksa ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,"FNAB jaringan telinga, hidung, mulut ",Permintaan & Hasil,"Jaringan telinga, hidung, mulut ",Naratif ,,,PA099431,"FNAB jaringan telinga, hidung, mulut ",,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan respiratori ,Permintaan & Hasil,Jaringan respiratori ,Naratif ,,,PA099432,FNAB jaringan respiratori ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan kardiovaskular ,Permintaan & Hasil,Jaringan kardiovaskular ,Naratif ,,,PA099433,FNAB jaringan kardiovaskular ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan gastrointestinal ,Permintaan & Hasil,Jaringan gastrointestinal ,Naratif ,,,PA099434,FNAB jaringan gastrointestinal ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Jaringan hepatobilier dan pankreas ,Naratif ,,,PA099435,FNAB jaringan hepatobilier dan pankreas ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan muskuloskeletal ,Permintaan & Hasil,Jaringan muskuloskeletal ,Naratif ,,,PA099436,FNAB jaringan muskuloskeletal ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan kulit ,Permintaan & Hasil,Jaringan kulit ,Naratif ,,,PA099437,FNAB jaringan kulit ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan payudara ,Permintaan & Hasil,Jaringan payudara ,Naratif ,,,PA099438,FNAB jaringan payudara ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan endokrin ,Permintaan & Hasil,Jaringan endokrin ,Naratif ,,,PA099439,FNAB jaringan endokrin ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan nefrourinaria ,Permintaan & Hasil,Jaringan nefrourinaria ,Naratif ,,,PA099440,FNAB jaringan nefrourinaria ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan genitalia pria ,Permintaan & Hasil,Jaringan genitalia pria ,Naratif ,,,PA099441,FNAB jaringan genitalia pria ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan genitalia wanita ,Permintaan & Hasil,Jaringan genitalia wanita ,Naratif ,,,PA099442,FNAB jaringan genitalia wanita ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan retikuloendotelial,Permintaan & Hasil,Jaringan retikuloendotelial,Naratif ,,,PA099443,FNAB jaringan retikuloendotelial,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
11,FNAB jaringan lainnya,Permintaan & Hasil,Jaringan lainnya ,Naratif ,,,PA099444,FNAB jaringan lainnya,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
12,Tinggi Badan,Permintaan & Hasil,Pasien,Quantitative,[in_us];cm;m,,8302-2,Body height,Body height,Len,Pt,^Patient,Qn,,[in_us];cm;m,http://loinc.org
12,Pre-Albumin,Permintaan & Hasil,Serum/Plasma ,Quantitative,mg/dL;g/dL,,14338-8,Prealbumin [Mass/volume] in Serum or Plasma,Prealbumin,MCnc,Pt,Ser/Plas,Qn,,mg/dL;g/dL,http://loinc.org
13,Keton (POCT),Permintaan & Hasil,Darah ,Quantitative,mmol/L,,53061-8,Ketones [Moles/volume] in Blood,Ketones,SCnc,Pt,Bld,Qn,,mmol/L,http://loinc.org
14,Pewarnaan besi,Permintaan & Hasil,Sumsum tulang,Nominal,,Potassium ferrocyanide stain,13513-7,Iron.microscopic observation [Identifier] in Bone marrow by Potassium ferrocyanide stain,Iron.microscopic observation,Prid,Pt,Bone mar,Nom,Potassium ferrocyanide stain,,http://loinc.org
14,Peroxidase (POX),Permintaan & Hasil,Sumsum tulang,Nominal,,Peroxidase stain,11018-9,Microscopic observation [Identifier] in Blood or Marrow by Peroxidase stain,Microscopic observation,Prid,Pt,Bld/Bone mar,Nom,Peroxidase stain,,http://loinc.org
14,Sudan B Black,Permintaan & Hasil,Sumsum tulang,Nominal,,Sudan black B stain,11019-7,Microscopic observation [Identifier] in Blood or Marrow by Sudan black B stain,Microscopic observation,Prid,Pt,Bld/Bone mar,Nom,Sudan black B stain,,http://loinc.org
14,Sugar Water Test/Sucrose Water Test,Permintaan,Serum,Quantitative,%,,X099081,Sugar Water Test/Sucrose Water Test,,,Pt,Ser/Plas,Qn,,%,http://terminology.kemkes.go.id/CodeSystem/examination
14,Sugar Water Test/Sucrose Water Test,Hasil,Serum,Quantitative,%,,13535-0,Sucrose hemolysis of Red Blood Cells,Sucrose hemolysis,NFr,Pt,RBC,Qn,,%,http://loinc.org
14,Ham's Test,Permintaan & Hasil,Serum/Plasma,Ordinal,,,13533-5,Acid hemolysis [Presence] of Blood,Acid hemolysis,PrThr,Pt,Bld,Ord,,,http://loinc.org
14,Tartrate-resistant acid phosphatase stain (TRAP),Permintaan & Hasil,Sumsum tulang,Nominal,,,11020-5,Microscopic observation [Identifier] in Blood or Marrow by Tartrate-resistant acid phosphatase stain,Microscopic observation,Prid,Pt,Bld/Bone mar,Nom,Tartrate-resistant acid phosphatase stain,,http://loinc.org
14,Tzanck cell,Permintaan & Hasil,Darah,Nominal,,Tzanck smear,45043-7,Microscopic observation [Identifier] in Specimen by Tzanck smear,Microscopic observation,Prid,Pt,XXX,Nom,Tzanck smear,,http://loinc.org
14,Haptoglobin,Permintaan & Hasil,Serum/Plasma,Quantitative,mg/dL,,4542-7,Haptoglobin [Mass/volume] in Serum or Plasma,Haptoglobin,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
14,Haptoglobin,Permintaan & Hasil,Serum/Plasma,Quantitative,mg/dL,Electrophoresis,4543-5,Haptoglobin [Mass/volume] in Serum or Plasma by Electrophoresis,Haptoglobin,MCnc,Pt,Ser/Plas,Qn,Electrophoresis,g/dL,http://loinc.org
14,Haptoglobin,Permintaan & Hasil,Serum/Plasma,Quantitative,mg/dL,Nephelometry,46127-7,Haptoglobin [Mass/volume] in Serum or Plasma by Nephelometry,Haptoglobin,MCnc,Pt,Ser/Plas,Qn,Nephelometry,g/dL,http://loinc.org
14,Badan inklusi Hb H,Permintaan,Darah,Ordinal,,,X099082,Badan inklusi Hb H,,,Pt,Bld,Ord,,,http://terminology.kemkes.go.id/CodeSystem/examination
14,Badan inklusi Hb H,Hasil,Darah,Ordinal,,,59185-9,Hemoglobin H inclusion bodies [Presence] in Blood,Hemoglobin H inclusion bodies,PrThr,Pt,Bld,Ord,,,http://loinc.org
14,Anti trombin III,Permintaan & Hasil,Serum/Plasma,Quantitative,%,Chromogenic,27811-9,Antithrombin actual/normal in Platelet poor plasma by Chromogenic method,Antithrombin actual/Normal,RelCCnc,Pt,PPP,Qn,Chromo,%,http://loinc.org
14,Anti Xa,Permintaan & Hasil,Serum/Plasma,Quantitative,IU/mL,,31159-7,Heparin anti Xa [Units/volume] in Nonbiological fluid,Heparin anti Xa,ACnc,Pt,Flu.nonbiological,Qn,,[arb'U]/mL,http://loinc.org
14,Waktu perdarahan (Ivy),Permintaan & Hasil,Darah,Quantitative,menit,Ivy,3179-9,Bleeding time by Ivy method,Bleeding time,Time,Pt,^Patient,Qn,Ivy,min,http://loinc.org
14,Waktu perdarahan (Duke),Permintaan & Hasil,Darah,Quantitative,menit,Duke,3178-1,Bleeding time by Duke method,Bleeding time,Time,Pt,^Patient,Qn,Duke,min,http://loinc.org
14,Protrombine Time (PT),Permintaan & Hasil,Serum/Plasma,Quantitative,detik,,5902-2,Prothrombin time (PT),Coagulation tissue factor induced,Time,Pt,PPP,Qn,Coag,s,http://loinc.org
14,Protrombine Time (PT),Permintaan & Hasil,Plasma,Quantitative,detik,Viscosity based,5964-2,Prothrombin time (PT) in Blood by Coagulation assay,Coagulation tissue factor induced,Time,Pt,Bld,Qn,Coag,s,http://loinc.org
14,Protrombine Time (PT),Permintaan & Hasil,Darah,Quantitative,detik,Foto Optical,5964-2,Prothrombin time (PT) in Blood by Coagulation assay,Coagulation tissue factor induced,Time,Pt,Bld,Qn,Coag,s,http://loinc.org
14,Protrombine Time (PT) kontrol,Hasil,Serum/Plasma,Quantitative,detik,,5901-4,Prothrombin time (PT) in Control Platelet poor plasma by Coagulation assay,Coagulation tissue factor induced,Time,Pt,PPP^Control,Qn,Coag,s,http://loinc.org
14,International Normalized Ratio (INR),Hasil,Serum/Plasma,Quantitative,,,38875-1,INR in Platelet poor plasma or blood by Coagulation assay,Coagulation tissue factor induced.INR,RelTime,Pt,PPP/Bld,Qn,Coag,{INR},http://loinc.org
14,Trombotest,Hasil,Serum/Plasma,Quantitative,,,34682-5,Prothrombin time (PT) factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of factor V depleted plasma,Coagulation tissue factor induced.factor substitution^immediately after addition of factor V depleted plasma,Time,Pt,PPP,Qn,Coag,s,http://loinc.org
14,Fibrinogen,Permintaan & Hasil,Serum/Plasma,Quantitative,mg/dL,Coag,3255-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,Fibrinogen,MCnc,Pt,PPP,Qn,Coag,mg/dL,http://loinc.org
14,Fibrinogen,Permintaan & Hasil,Darah,Quantitative,mg/dL,Foto Optical,3255-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,Fibrinogen,MCnc,Pt,PPP,Qn,Coag,mg/dL,http://loinc.org
14,D-Dimer kualitatif,Permintaan & Hasil,Serum/Plasma,Ordinal,,,15179-5,Fibrin D-dimer [Presence] in Platelet poor plasma,Fibrin D-dimer,PrThr,Pt,PPP,Ord,,,http://loinc.org
14,D-Dimer kualitatif,Permintaan & Hasil,Serum/Plasma,Ordinal,,Latex agglutination,29280-5,Fibrin D-dimer [Presence] in Platelet poor plasma by Latex agglutination,Fibrin D-dimer,PrThr,Pt,PPP,Ord,LA,,http://loinc.org
14,D-Dimer kuantitatif,Permintaan & Hasil,Serum/Plasma,Quantitative,µg/L,,48066-5,Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma,Fibrin D-dimer DDU,MCnc,Pt,PPP,Qn,,ug/L{DDU},http://loinc.org
14,D-Dimer kuantitatif,Permintaan & Hasil,Serum/Plasma,Quantitative,µg/L,Latex enhanced immunoassay,48058-2,Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay,Fibrin D-dimer DDU,MCnc,Pt,PPP,Qn,IA,ug/L{DDU},http://loinc.org
14,D-Dimer kuantitatif,Permintaan & Hasil,Serum/Plasma,Quantitative,µg/L,Fluorescence immunoassay,48058-2,Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay,Fibrin D-dimer DDU,MCnc,Pt,PPP,Qn,IA,ug/L{DDU},http://loinc.org
14,Euglobulin clot lysis time,Permintaan & Hasil,Serum/Plasma,Quantitative,jam,,3244-1,Clot Lysis [Time] in Platelet poor plasma by Coagulation assay,Coagulum lysis,Time,Pt,PPP,Qn,Coag,min,http://loinc.org
14,Protein C,Permintaan & Hasil,Serum/Plasma,Quantitative,%,,27819-2,Protein C actual/normal in Platelet poor plasma by Coagulation assay,Protein C actual/Normal,RelTime,Pt,PPP,Qn,Coag,%,http://loinc.org
14,Protein C,Permintaan & Hasil,Serum/Plasma,Quantitative,%,Chromogenic,27818-4,Protein C actual/normal in Platelet poor plasma by Chromogenic method,Protein C actual/Normal,RelCCnc,Pt,PPP,Qn,Chromo,%,http://loinc.org
