IDKategori,Nama Pemeriksaan ,Permintaan/Hasil,Code ,Long Common Name,Component,Property,Timing,System,Scale,Method,Class,Unit,Order/Observation,Code System,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date,
44,Bone mineral densitometry (BMD) forearm (g/cm2),Hasil,24890-6,DXA Radius and Ulna [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Upper extremity>Radius+Ulna,Qn,DXA,,g/cm2,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) forearm (T-score),Hasil,38265-5,DXA Radius and Ulna [T-score] Bone density,Views for bone density,Tscore,Pt,Upper extremity>Radius+Ulna,Qn,DXA,,{T-score},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) forearm (Z-score),Permintaan & Hasil,80932-7,DXA Radius and Ulna [Z-score] Bone density,Views for bone density,Zscore,Pt,Upper extremity>Radius+Ulna,Qn,DXA,,{Zscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) forearm kiri (g/cm2),Permintaan & Hasil,80952-5,DXA Radius and Ulna - left [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Upper extremity.left>Radius+Ulna,Qn,DXA,,g/cm2,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) forearm kiri (T-score),Permintaan & Hasil,80944-2,DXA Radius and Ulna - left [T-score] Bone density,Views for bone density,Tscore,Pt,Upper extremity.left>Radius+Ulna,Qn,DXA,,{Tscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) forearm kiri (Z-score),Permintaan & Hasil,80936-8,DXA Radius and Ulna - left [Z-score] Bone density,Views for bone density,Zscore,Pt,Upper extremity.left>Radius+Ulna,Qn,DXA,,{Zscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) forearm kanan (g/cm2),Permintaan & Hasil,80951-7,DXA Radius and Ulna - right [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Upper extremity.right>Radius+Ulna,Qn,DXA,,g/cm2,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) forearm kanan (T-score),Permintaan & Hasil,80943-4,DXA Radius and Ulna - right [T-score] Bone density,Views for bone density,Tscore,Pt,Upper extremity.right>Radius+Ulna,Qn,DXA,,{Tscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) forearm kanan (Z-score),Permintaan & Hasil,80935-0,DXA Radius and Ulna - right [Z-score] Bone density,Views for bone density,Zscore,Pt,Upper extremity.right>Radius+Ulna,Qn,DXA,,{Zscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) hip (g/cm2),Hasil,38261-4,DXA Hip [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Lower extremity>Hip,Qn,DXA,,g/cm2,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) hip (T-score),Hasil,38264-8,DXA Hip [T-score] Bone density,Views for bone density,Tscore,Pt,Lower extremity>Hip,Qn,DXA,,{T-score},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) hip (Z-score),Permintaan & Hasil,80933-5,DXA Hip [Z-score] Bone density,Views for bone density,Zscore,Pt,Lower extremity>Hip,Qn,DXA,,{Zscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) hip kanan (g/cm2),Hasil,46279-6,DXA Hip - right [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Lower extremity.right>Hip,Qn,DXA,,g/cm2,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) hip kanan (T-score),Permintaan & Hasil,80945-9,DXA Hip - right [T-score] Bone density,Views for bone density,Tscore,Pt,Lower extremity.right>Hip,Qn,DXA,,{Tscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) hip kanan (Z-score),Permintaan & Hasil,80937-6,DXA Hip - right [Z-score] Bone density,Views for bone density,Zscore,Pt,Lower extremity.right>Hip,Qn,DXA,,{Zscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) hip kiri (g/cm2),Hasil,46278-8,DXA Hip - left [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Lower extremity.left>Hip,Qn,DXA,,g/cm2,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) hip kiri (T-score),Permintaan & Hasil,80946-7,DXA Hip - left [T-score] Bone density,Views for bone density,Tscore,Pt,Lower extremity.left>Hip,Qn,DXA,,{Tscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) hip kiri (Z-score),Permintaan & Hasil,80938-4,DXA Hip - left [Z-score] Bone density,Views for bone density,Zscore,Pt,Lower extremity.left>Hip,Qn,DXA,,{Zscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) bone,Permintaan & Hasil,46383-6,DXA Bone [Mass/Area] Bone density,Views for bone density,ArMass,Pt,XXX>Bone,Qn,DXA,,g/cm2,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) femur (g/cm2),Hasil,24701-5,DXA Femur [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Lower extremity>Femur,Qn,DXA,,g/cm2,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) femur (T-score),Hasil,38263-0,DXA Femur [T-score] Bone density,Views for bone density,Tscore,Pt,Lower extremity>Femur,Qn,DXA,,{T-score},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) femur (Z-score),Permintaan & Hasil,80934-3,DXA Femur [Z-score] Bone density,Views for bone density,Zscore,Pt,Lower extremity>Femur,Qn,DXA,,{Zscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) femur kiri (g/cm2),Permintaan & Hasil,80954-1,DXA Femur - left [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Lower extremity.left>Femur,Qn,DXA,,g/cm2,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) femur kiri (T-score),Permintaan & Hasil,80948-3,DXA Femur - left [T-score] Bone density,Views for bone density,Tscore,Pt,Lower extremity.left>Femur,Qn,DXA,,{Tscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) femur kiri (Z-score),Permintaan & Hasil,80940-0,DXA Femur - left [Z-score] Bone density,Views for bone density,Zscore,Pt,Lower extremity.left>Femur,Qn,DXA,,{Zscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) femur kanan (g/cm2),Permintaan & Hasil,80953-3,DXA Femur - right [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Lower extremity.right>Femur,Qn,DXA,,g/cm2,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) femur kanan (T-score),Permintaan & Hasil,80947-5,DXA Femur - right [T-score] Bone density,Views for bone density,Tscore,Pt,Lower extremity.right>Femur,Qn,DXA,,{Tscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) femur kanan (Z-score),Permintaan & Hasil,80939-2,DXA Femur - right [Z-score] Bone density,Views for bone density,Zscore,Pt,Lower extremity.right>Femur,Qn,DXA,,{Zscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Colonoscopy dengan lower endoscopic ultrasound,Permintaan & Hasil,97100-2,Colonoscopy+US Study,Colonoscopy and endoscopic ultrasound study,Find,Pt,Lower GI tract,Doc,Colonoscopy+US,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT abdomen atas dengan kontras IV,Permintaan & Hasil,79103-8,CT Abdomen W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen,Doc,CT,,,,http://loinc.org,Upper abdomen structure,http://snomed.info/sct,1.0,1.0,2/13/2023,2/13/2023,
44,CT abdomen atas nonkontras,Permintaan & Hasil,36424-0,CT Abdomen WO contrast,Multisection^WO contrast,Find,Pt,Abdomen,Doc,CT,,,,http://loinc.org,Upper abdomen structure,http://snomed.info/sct,1.0,1.0,2/13/2023,2/13/2023,
44,CT abdomen dan pelvis dengan kontras IV,Permintaan & Hasil,36813-4,CT Abdomen and Pelvis W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen+Pelvis,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT abdomen dan pelvis dengan kontras PO,Permintaan & Hasil,99610-8,CT Abdomen and Pelvis W contrast PO,Multisection^W contrast PO,Find,Pt,Abdomen+Pelvis,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT abdomen dan pelvis nonkontras,Permintaan & Hasil,36952-0,CT Abdomen and Pelvis WO contrast,Multisection^WO contrast,Find,Pt,Abdomen+Pelvis,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT abdomen dan pelvis nonkontras diikuti dengan kontras IV,Permintaan & Hasil,42274-1,CT Abdomen and Pelvis WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen+Pelvis,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT abdomen dengan kontras IV,Permintaan & Hasil,79103-8,CT Abdomen W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT abdomen nonkontras,Permintaan & Hasil,36424-0,CT Abdomen WO contrast,Multisection^WO contrast,Find,Pt,Abdomen,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT abdomen tanpa kontras diikuti dengan kontras IV,Permintaan & Hasil,36267-3,CT Abdomen WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT ankle bilateral nonkontras,Permintaan & Hasil,69087-5,CT Ankle - bilateral WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity.bilateral>Ankle,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT ankle dan pedis dengan kontras IV,Permintaan & Hasil,36135-2,CT Ankle W contrast IV,Multisection^W contrast IV,Find,Pt,Lower extremity>Ankle,Doc,CT,,,,http://loinc.org,Entire ankle and foot,http://snomed.info/sct,1.0,1.0,2/13/2023,2/13/2023,
44,CT ankle dan pedis nonkontras,Permintaan & Hasil,36425-7,CT Ankle WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity>Ankle,Doc,CT,,,,http://loinc.org,Entire ankle and foot,http://snomed.info/sct,1.0,1.0,2/13/2023,2/13/2023,
44,CT ankle nonkontras,Permintaan & Hasil,36425-7,CT Ankle WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity>Ankle,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT antebrachi dengan kontras IV,Permintaan & Hasil,36185-7,CT Forearm W contrast IV,Multisection^W contrast IV,Find,Pt,Upper extremity>Forearm,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT antebrachi nonkontras,Permintaan & Hasil,36472-9,CT Forearm WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity>Forearm,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT antebrachi bilateral nonkontras,Permintaan & Hasil,35998-4,CT Forearm - bilateral,Multisection,Find,Pt,Upper extremity.bilateral>Forearm,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT aorta abdominalis dengan kontras IV,Permintaan & Hasil,36143-6,CT Abdominal Aorta W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen>Aorta.abdominal,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT aorta thorakalis dan abdominalis dengan kontras IV,Permintaan & Hasil,36142-8,CT Thoracic and abdominal aorta W contrast IV,Multisection^W contrast IV,Find,Pt,Chest>Aorta.thoracic & Abdomen>Aorta.abdominal,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT aorta thorakalis dengan kontras IV,Permintaan & Hasil,24545-6,CT Thoracic Aorta W contrast IV,Multisection^W contrast IV,Find,Pt,Chest>Aorta.thoracic,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT appendicogram dengan kontras IV,Permintaan & Hasil,36145-1,CT Appendix W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen+Pelvis>Appendix,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT bahu bilateral dengan kontras IV,Permintaan & Hasil,86969-3,CT Shoulder - bilateral W contrast IV,Multisection^W contrast IV,Find,Pt,Upper extremity.bilateral>Shoulder,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT bahu bilateral nonkontras,Permintaan & Hasil,69090-9,CT Shoulder - bilateral WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity.bilateral>Shoulder,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT bahu kontras IV,Permintaan & Hasil,36250-9,CT Shoulder W contrast IV,Multisection^W contrast IV,Find,Pt,Upper extremity>Shoulder,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT bahu nonkontras,Permintaan & Hasil,36524-7,CT Shoulder WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity>Shoulder,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT bone,Permintaan & Hasil,44229-3,CT Bone,Multisection,Find,Pt,XXX>Bone,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT cairan serebrospinal sisternografi dengan kontras IT,Permintaan & Hasil,24734-6,CT Cerebral cisterns W contrast IT,Multisection^W contrast IT,Find,Pt,Head+Neck>Cerebral cisterns,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT cardiac scoring,Permintaan & Hasil,79087-3,CT Heart and Coronary arteries for calcium scoring WO contrast,Multisection for calcium score^WO contrast,Find,Pt,Chest>Heart+Coronary arteries,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT cone beam (CBCT) gigi lengkap,Permintaan & Hasil,99633-0,Cone beam CT Teeth,Multisection,Find,Pt,Head>Teeth,Doc,CT.cone beam,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT cone beam (CBCT) satu gigi,Permintaan & Hasil,99633-0,Cone beam CT Teeth,Multisection,Find,Pt,Head>Teeth,Doc,CT.cone beam,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT cruris bilateral nonkontras,Permintaan & Hasil,87879-3,CT Lower leg - bilateral WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity.bilateral>Lower leg,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT cruris nonkontras,Permintaan & Hasil,36537-9,CT Lower leg WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity>Lower leg,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT cubiti bilateral nonkontras,Permintaan & Hasil,36444-8,CT Elbow - bilateral WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity.bilateral>Elbow,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT cubiti dengan kontras IV,Permintaan & Hasil,36157-6,CT Elbow W contrast IV,Multisection^W contrast IV,Find,Pt,Upper extremity>Elbow,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT cubiti nonkontras,Permintaan & Hasil,36443-0,CT Elbow WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity>Elbow,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT ekstremitas atas dengan kontras IV,Permintaan & Hasil,30626-6,CT Upper extremity W contrast IV,Multisection^W contrast IV,Find,Pt,Upper extremity,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT ekstremitas atas nonkontras,Permintaan & Hasil,30627-4,CT Upper extremity WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT ekstremitas atas nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36334-1,CT Upper extremity WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Upper extremity,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT ekstremitas bawah dengan kontras IV,Permintaan & Hasil,30624-1,CT Lower extremity W contrast IV,Multisection^W contrast IV,Find,Pt,Lower extremity,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT ekstremitas bawah nonkontras,Permintaan & Hasil,30625-8,CT Lower extremity WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT ekstremitas bawah nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36288-9,CT Lower extremity WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Lower extremity,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT femur bilateral nonkontras,Permintaan & Hasil,87881-9,CT Thigh - bilateral WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity.bilateral>Thigh,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT femur dengan kontras IV,Permintaan & Hasil,36172-5,CT Thigh W contrast IV,Multisection^W contrast IV,Find,Pt,Lower extremity>Thigh,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT femur nonkontras,Permintaan & Hasil,36460-4,CT Thigh WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity>Thigh,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT fossa posterior dengan kontras IV,Permintaan & Hasil,36242-6,CT Posterior fossa W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Posterior fossa,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT fossa posterior nonkontras,Permintaan & Hasil,36517-1,CT Posterior fossa WO contrast,Multisection^WO contrast,Find,Pt,Head>Posterior fossa,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT fossa posterior nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36387-9,CT Posterior fossa WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Head>Posterior fossa,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT genu dengan kontras IV,Permintaan & Hasil,36222-8,CT Knee W contrast IV,Multisection^W contrast IV,Find,Pt,Lower extremity>Knee,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT genu nonkontras,Permintaan & Hasil,36505-6,CT Knee WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity>Knee,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT guidance biopsy jarum nonkontras,Permintaan & Hasil,46290-3,CT Guidance for biopsy of Unspecified body region-- WO contrast,Guidance for percutaneous biopsy^WO contrast,Find,Pt,XXX,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT guidance untuk ablasi dan pemantauan jaringan parenkimal,Permintaan & Hasil,58747-7,CT Guidance for ablation of tissue of Unspecified body region,Guidance for ablation of tissue,Find,Pt,XXX,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT guidance untuk drainase abses perkutan dan penempatan kateter drainase ,Permintaan & Hasil,43444-9,CT Guidance for percutaneous drainage of abscess and placement of drainage catheter of Unspecified body region,Guidance for percutaneous drainage of abscess+placement of drainage catheter,Find,Pt,XXX,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT guidance untuk penempatan jarum ,Permintaan & Hasil,89932-8,CT Guidance for deep placement of needle of Unspecified body region,Guidance for deep placement of needle,Find,Pt,XXX,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT jantung,Permintaan & Hasil,58744-4,CT Heart,Multisection,Find,Pt,Chest>Heart,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT jantung dengan kontras IV,Permintaan & Hasil,79089-9,CT Heart W contrast IV,Multisection^W contrast IV,Find,Pt,Chest>Heart,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT jantung dengan kontras IV untuk penyakit jantung bawaan,Permintaan & Hasil,79088-1,CT Heart for congenital disease W contrast IV,Multisection for congenital disease^W contrast IV,Find,Pt,Chest>Heart,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT jantung nonkontras,Permintaan & Hasil,99612-4,CT Heart WO contrast,Multisection^WO contrast,Find,Pt,Chest>Heart,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT jantung nonkontras dengan pemeriksaan kalsium koroner secara kuantitatif,Permintaan & Hasil,79087-3,CT Heart and Coronary arteries for calcium scoring WO contrast,Multisection for calcium score^WO contrast,Find,Pt,Chest>Heart+Coronary arteries,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT jaringan lunak leher dengan kontras IV,Permintaan & Hasil,36235-0,CT Neck W contrast IV,Multisection^W contrast IV,Find,Pt,Neck,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT jaringan lunak leher nonkontras,Permintaan & Hasil,36514-8,CT Neck WO contrast,Multisection^WO contrast,Find,Pt,Neck,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT jaringan lunak leher nonkontras diikuti dengan kontras IV,Permintaan & Hasil,30586-2,CT Neck WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Neck,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT kepala dengan kontras IV,Permintaan & Hasil,24727-0,CT Head W contrast IV,Multisection^W contrast IV,Find,Pt,Head,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT kepala nonkontras,Permintaan & Hasil,30799-1,CT Head WO contrast,Multisection^WO contrast,Find,Pt,Head,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT kepala nonkontras diikuti dengan kontras IV,Permintaan & Hasil,24726-2,CT Head WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Head,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT kolonografi nonkontras dan diikuti dengan kontras IV dan kontras PR,Permintaan & Hasil,82688-3,CT Colon and Rectum WO and W contrast IV and W air contrast PR,Multisection^WO & W contrast IV+W air contrast PR,Find,Pt,Abdomen+Pelvis>Colon+Rectum,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,CT kolonografi nonkontras IV diikuti dengan kontras PR,Permintaan & Hasil,79071-7,CT Colon and Rectum WO contrast IV and W air contrast PR,Multisection^WO contrast IV+W air contrast PR,Find,Pt,Abdomen+Pelvis>Colon+Rectum,Doc,CT,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
