No,Nama Pemeriksaan,Permintaan/Hasil,Code,Display,Component,Property,Timing,System,Scale,Method,Unit of Measure,Code System,BodySite Code,BodySite Display,BodySite CodeSystem,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date
28,XR ankle tiga proyeksi kiri,Permintaan & Hasil,36296-2,XR Ankle - left 3 Views,Views 3,Find,Pt,Lower extremity.left>Ankle,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
29,XR antebrachi AP dan lateral kanan,Permintaan & Hasil,37708-5,XR Radius and Ulna - right AP and Lateral,Views AP + lateral,Find,Pt,Upper extremity.right>Radius+Ulna,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
30,XR antebrachi AP dan lateral kiri,Permintaan & Hasil,36700-3,XR Radius and Ulna - left AP and Lateral,Views AP + lateral,Find,Pt,Upper extremity.left>Radius+Ulna,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
31,XR antebrachi bilateral 3 proyeksi,Permintaan & Hasil,103513-8,XR Radius and Ulna - bilateral 3 Views,Views 3,Find,Pt,Upper extremity.bilateral>Radius+Ulna,Doc,XR,,http://loinc.org,,,,2.75,2.75,1.0,1.1,15/11/2023,17/01/2024
32,XR antebrachi dua proyeksi,Permintaan & Hasil,36658-3,XR Radius and Ulna 2 Views,Views 2,Find,Pt,Upper extremity>Radius+Ulna,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
33,XR antebrachi dua proyeksi bilateral,Permintaan & Hasil,36659-1,XR Radius and Ulna - bilateral 2 Views,Views 2,Find,Pt,Upper extremity.bilateral>Radius+Ulna,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
34,XR antebrachi dua proyeksi kanan atau kiri,Permintaan & Hasil,26146-1,XR Radius and Ulna - bilateral Views,Views,Find,Pt,Upper extremity.bilateral>Radius+Ulna,Doc,XR,,http://loinc.org,,,,2.00,2.64,1.0,1.0,2/13/2023,2/13/2023
35,XR antebrachi kanan 3 proyeksi,Permintaan & Hasil,103378-6,XR Radius and Ulna - right 3 Views,Views 3,Find,Pt,Upper extremity.right>Radius+Ulna,Doc,XR,,http://loinc.org,,,,2.75,2.75,1.0,1.1,15/11/2023,17/01/2024
36,XR antebrachi kiri 3 proyeksi,Permintaan & Hasil,103374-5,XR Radius and Ulna - left 3 Views,Views 3,Find,Pt,Upper extremity.left>Radius+Ulna,Doc,XR,,http://loinc.org,,,,2.75,2.75,1.0,1.1,15/11/2023,17/01/2024
37,XR artc. coxae axial kanan,Permintaan & Hasil,37726-7,XR Hip - right AP,View AP,Find,Pt,Lower extremity.right>Hip,Doc,XR,,http://loinc.org,,,,2.14,2.73,1.0,1.0,2/13/2023,2/13/2023
38,XR artc. coxae axial kiri,Permintaan & Hasil,36582-5,XR Hip - left AP,View AP,Find,Pt,Lower extremity.left>Hip,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
39,XR artc. coxae kiri,Permintaan & Hasil,26131-3,XR Hip - left Views,Views,Find,Pt,Lower extremity.left>Hip,Doc,XR,,http://loinc.org,,,,2.00,2.64,1.0,1.0,2/13/2023,2/13/2023
40,XR artc. coxae lateral kanan,Permintaan & Hasil,37730-9,XR Hip - right Lateral,View lateral,Find,Pt,Lower extremity.right>Hip,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
41,XR artc. coxae lateral kiri,Permintaan & Hasil,36603-9,XR Hip - left Lateral,View lateral,Find,Pt,Lower extremity.left>Hip,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
42,XR artc. coxae oblique kanan,Permintaan & Hasil,37728-3,XR Hip - right Oblique crosstable,View oblique crosstable,Find,Pt,Lower extremity.right>Hip,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
43,XR artc. coxae oblique kiri,Permintaan & Hasil,37545-1,XR Hip - left Oblique crosstable,View oblique crosstable,Find,Pt,Lower extremity.left>Hip,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
44,XR atresia ani,Permintaan & Hasil,36984-3,XR Abdomen Lateral crosstable,View lateral crosstable,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
45,XR bahu AP kanan,Permintaan & Hasil,37798-6,XR Shoulder - right AP,View AP,Find,Pt,Upper extremity.right>Shoulder,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
46,XR bahu AP kiri,Permintaan & Hasil,36587-4,XR Shoulder - left AP,View AP,Find,Pt,Upper extremity.left>Shoulder,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
47,XR bahu axial kanan,Permintaan & Hasil,37800-0,XR Shoulder - right Axillary,View axillary,Find,Pt,Upper extremity.right>Shoulder,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
48,XR bahu axial kiri,Permintaan & Hasil,36964-5,XR Shoulder - left Axillary,View axillary,Find,Pt,Upper extremity.left>Shoulder,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
49,XR bahu bilateral 4 proyeksi,Permintaan & Hasil,36329-1,XR Shoulder - bilateral 4 Views,Views 4,Find,Pt,Upper extremity.bilateral>Shoulder,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.1,15/11/2023,17/01/2024
50,XR bahu bilateral 5 proyeksi,Permintaan & Hasil,103450-3,XR Shoulder - bilateral 5 Views,Views 5,Find,Pt,Upper extremity.bilateral>Shoulder,Doc,XR,,http://loinc.org,,,,2.75,2.75,1.0,1.1,15/11/2023,17/01/2024
51,XR bahu bilateral 6 proyeksi,Permintaan & Hasil,RD0993099,XR bahu bilateral 6 proyeksi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
52,XR bahu bilateral Impingment Series,Permintaan & Hasil,RD0993100,XR bahu bilateral Impingment Series,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
53,XR bahu dua proyeksi,Permintaan & Hasil,37840-6,XR Shoulder 2 Views,Views 2,Find,Pt,Upper extremity>Shoulder,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
54,XR bahu dua proyeksi bilateral,Permintaan & Hasil,36667-4,XR Shoulder - bilateral 2 Views,Views 2,Find,Pt,Upper extremity.bilateral>Shoulder,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
55,XR bahu dua proyeksi kanan,Permintaan & Hasil,37793-7,XR Shoulder - right 2 Views,Views 2,Find,Pt,Upper extremity.right>Shoulder,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
56,XR bahu dua proyeksi kiri,Permintaan & Hasil,36668-2,XR Shoulder - left 2 Views,Views 2,Find,Pt,Upper extremity.left>Shoulder,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
57,XR bahu impingment series,Permintaan & Hasil,RD0993101,XR bahu impingment series,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
58,XR bahu instability series,Permintaan & Hasil,RD0993102,XR bahu instability series,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
59,XR bahu minimal dua proyeksi,Permintaan & Hasil,79370-3,XR Shoulder GE 2 Views,Views GE 2,Find,Pt,Upper extremity>Shoulder,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
60,XR bahu satu proyeksi,Permintaan & Hasil,30748-8,XR Shoulder Single view,View,Find,Pt,Upper extremity>Shoulder,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
61,XR bahu tiga proyeksi kanan,Permintaan & Hasil,26384-8,XR Shoulder - right 3 Views,Views 3,Find,Pt,Upper extremity.right>Shoulder,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
62,XR bahu tiga proyeksi kiri,Permintaan & Hasil,26383-0,XR Shoulder - left 3 Views,Views 3,Find,Pt,Upper extremity.left>Shoulder,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
63,XR basis cranium,Permintaan & Hasil,48697-7,XR Skull base Views,Views,Find,Pt,Head>Skull.base,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
64,XR BOF - LLD,Permintaan & Hasil,24561-3,XR Abdomen AP left lateral-decubitus,View AP L-lateral-decubitus,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
65,XR BOF/BNO/KUB,Permintaan & Hasil,36550-2,XR Abdomen Single view,View,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
66,XR BOF/BNO/KUB erect,Permintaan & Hasil,37046-0,XR Abdomen Upright,View upright,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
67,XR BOF/BNO/KUB tiga proyeksi,Permintaan & Hasil,36293-9,XR Abdomen 3 Views,Views 3,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
68,XR bronkografi bilateral,Permintaan & Hasil,30813-0,XR Lung - bilateral Views W contrast intrabronchial,Views^W contrast intrabronchial,Find,Pt,Chest>Lung.bilateral,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
69,XR bronkografi kanan,Permintaan & Hasil,64997-0,XR Lung - right Views W contrast intrabronchial,Views^W contrast intrabronchial,Find,Pt,Chest>Lung.right,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
70,XR bronkografi kiri,Permintaan & Hasil,64996-2,XR Lung - left Views W contrast intrabronchial,Views^W contrast intrabronchial,Find,Pt,Chest>Lung.left,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
71,XR calcaneus bilateral 2 proyeksi,Permintaan & Hasil,48433-7,XR Calcaneus - bilateral 2 Views,Views 2,Find,Pt,Lower extremity.bilateral>Calcaneus,Doc,XR,,http://loinc.org,,,,2.21,2.61,1.0,1.1,15/11/2023,17/01/2024
72,XR calcaneus lateral kanan,Permintaan & Hasil,98303-1,XR Calcaneus - right Lateral,View lateral,Find,Pt,Lower extremity.right>Calcaneus,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
73,XR calcaneus lateral kiri,Permintaan & Hasil,98311-4,XR Calcaneus - left Lateral,View lateral,Find,Pt,Lower extremity.left>Calcaneus,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
74,XR calcaneus minimal dua proyeksi,Permintaan & Hasil,94682-2,XR Calcaneus GE 2 Views,Views GE 2,Find,Pt,Lower extremity>Calcaneus,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
75,XR caput femur bilateral,Permintaan & Hasil,26118-0,XR Femur - bilateral Views,Views,Find,Pt,Lower extremity.bilateral>Femur,Doc,XR,,http://loinc.org,2812003,Structure of head of femur,http://snomed.info/sct,,,1.0,1.0,2/13/2023,2/13/2023
76,XR caput femur kanan,Permintaan & Hasil,26122-2,XR Femur - right Views,Views,Find,Pt,Lower extremity.right>Femur,Doc,XR,,http://loinc.org,2812003,Structure of head of femur,http://snomed.info/sct,,,1.0,1.0,2/13/2023,2/13/2023
77,XR caput femur kiri,Permintaan & Hasil,26120-6,XR Femur - left Views,Views,Find,Pt,Lower extremity.left>Femur,Doc,XR,,http://loinc.org,2812003,Structure of head of femur,http://snomed.info/sct,,,1.0,1.0,2/13/2023,2/13/2023
79,XR cervical 4 proyeksi,Permintaan & Hasil,36331-7,XR Cervical spine 4 Views,Views 4,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
80,XR cervical adenoid/fujioka,Permintaan & Hasil,60648-3,Adenoid width Skull X-ray measured,Adenoid width,Len,Pt,Skull,Qn,XR.measured,mm,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
81,XR cervical AP,Permintaan & Hasil,30725-6,XR Cervical spine AP,View AP,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
82,XR cervical AP close mouth,Permintaan & Hasil,30725-6,XR Cervical spine AP,View AP,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
83,XR cervical AP dan lateral,Permintaan & Hasil,24942-5,XR Cervical spine AP and Lateral,Views AP + lateral,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
84,XR cervical AP open mouth,Permintaan & Hasil,98359-3,XR Cervical spine Odontoid,View odontoid,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
85,"XR cervical AP, lateral dan oblique",Permintaan & Hasil,36734-2,XR Cervical spine AP and Lateral and oblique,Views AP + lateral + oblique,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
86,XR cervical dua proyeksi,Permintaan & Hasil,36669-0,XR Cervical spine 2 Views,Views 2,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
87,XR cervical extensi,Permintaan & Hasil,98360-1,XR Cervical spine Single view W extension,View^W extension,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
88,XR cervical fleksi dan ekstensi,Permintaan & Hasil,24945-8,XR Cervical spine Views W flexion and W extension,Views^W flexion + W extension,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
89,XR cervical flexi,Permintaan & Hasil,98358-5,XR Cervical spine Single view W flexion,View^W flexion,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
90,XR cervical I dan odontoid,Permintaan & Hasil,24948-2,XR Spine Cervical Odontoid and Cervical axis AP,View AP,Find,Pt,Neck>Spine.cervical.odontoid+Spine.cervical.axis,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
91,XR cervical lateral,Permintaan & Hasil,24943-3,XR Cervical spine Lateral,View lateral,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
92,XR cervical oblique,Permintaan & Hasil,36748-2,XR Cervical spine Oblique Views,Views oblique,Find,Pt,Neck>Spine.cervical,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
93,XR cholangiography,Permintaan & Hasil,24573-8,XR Biliary ducts and Gallbladder Views W contrast IV,Views^W contrast IV,Find,Pt,Abdomen>Biliary ducts+Gallbladder,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
94,XR clavicula,Permintaan & Hasil,24664-5,XR Clavicle Views,Views,Find,Pt,Chest>Clavicle,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
95,XR clavicula AP axial kanan,Permintaan & Hasil,97364-4,XR Clavicle - right Axial,View axial,Find,Pt,Chest>Clavicle.right,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
96,XR clavicula AP axial kiri,Permintaan & Hasil,97349-5,XR Clavicle - left Axial,View axial,Find,Pt,Chest>Clavicle.left,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
97,XR clavicula AP bilateral,Permintaan & Hasil,97376-8,XR Clavicle - bilateral AP,View AP,Find,Pt,Chest>Clavicle.bilateral,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
98,XR clavicula AP kanan,Permintaan & Hasil,97362-8,XR Clavicle - right AP,View AP,Find,Pt,Chest>Clavicle.right,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
99,XR clavicula AP kiri,Permintaan & Hasil,97347-9,XR Clavicle - left AP,View AP,Find,Pt,Chest>Clavicle.left,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
100,XR clavicula bilateral,Permintaan & Hasil,26106-5,XR Clavicle - bilateral Views,Views,Find,Pt,Chest>Clavicle.bilateral,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
101,XR clavicula kanan,Permintaan & Hasil,26108-1,XR Clavicle - right Views,Views,Find,Pt,Chest>Clavicle.right,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
102,XR clavicula kiri,Permintaan & Hasil,26107-3,XR Clavicle - left Views,Views,Find,Pt,Chest>Clavicle.left,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
103,XR coccygeus AP,Permintaan & Hasil,98356-9,XR Coccyx AP,View AP,Find,Pt,Pelvis>Coccyx,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
104,XR coccygeus lateral,Permintaan & Hasil,98357-7,XR Coccyx Lateral,View lateral,Find,Pt,Pelvis>Coccyx,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
105,XR comberg bilateral ,Permintaan & Hasil,30720-7,XR Orbit - bilateral Views for foreign body,Views for foreign body,Find,Pt,Head>Orbit.bilateral,Doc,XR,,http://loinc.org,,,,2.04,2.64,1.0,1.1,15/11/2023,17/01/2024
106,XR comberg unilateral ,Permintaan & Hasil,44208-7,XR Orbit Views for foreign body,Views for foreign body,Find,Pt,Head>Orbit,Doc,XR,,http://loinc.org,,,,2.17,2.73,1.0,1.1,15/11/2023,17/01/2024
107,XR costae AP,Permintaan & Hasil,39050-0,XR Ribs AP,View AP,Find,Pt,Chest>Ribs,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
108,XR costae axial,Permintaan & Hasil,24899-7,XR Ribs Views,Views,Find,Pt,Chest>Ribs,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
109,XR costae lateral kanan,Permintaan & Hasil,37784-6,XR Ribs - right Lateral,View lateral,Find,Pt,Chest>Ribs.right,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
110,XR costae lateral kiri,Permintaan & Hasil,38857-9,XR Ribs - left Lateral,View lateral,Find,Pt,Chest>Ribs.left,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
111,XR costae oblique kanan,Permintaan & Hasil,97447-7,XR Ribs - right Oblique,View oblique,Find,Pt,Chest>Ribs.right,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
112,XR costae oblique kiri,Permintaan & Hasil,97365-1,XR Ribs - left Oblique,View oblique,Find,Pt,Chest>Ribs.left,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
113,XR costae PA kanan,Permintaan & Hasil,97448-5,XR Ribs - right PA,View PA,Find,Pt,Chest>Ribs.right,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
114,XR costae PA kiri,Permintaan & Hasil,97366-9,XR Ribs - left PA,View PA,Find,Pt,Chest>Ribs.left,Doc,XR,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
115,XR coxae bilateral 1 proyeksi,Permintaan & Hasil,26400-2,XR Hip - bilateral Single view,View,Find,Pt,Lower extremity.bilateral>Hip,Doc,XR,,http://loinc.org,,,,2.0,2.64,1.0,1.1,15/11/2023,17/01/2024
