Nomor,Kategori Pemeriksaan ,Spesimen ,Nama Pemeriksaan ,Permintaan/Hasil,Tipe Hasil Pemeriksaan,Kode ,Nama Pemeriksaan ,Code System ,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date
35,FNAB ,Jaringan mata dan adneksa ,FNAB jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099430,FNAB jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
36,FNAB ,"Jaringan telinga, hidung, mulut ","FNAB jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099431,"FNAB jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
37,FNAB ,Jaringan respiratori ,FNAB jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099432,FNAB jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
38,FNAB ,Jaringan kardiovaskular ,FNAB jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099433,FNAB jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
39,FNAB ,Jaringan gastrointestinal ,FNAB jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099434,FNAB jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
40,FNAB ,Jaringan hepatobilier dan pankreas ,FNAB jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099435,FNAB jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
41,FNAB ,Jaringan muskuloskeletal ,FNAB jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099436,FNAB jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
42,FNAB ,Jaringan kulit ,FNAB jaringan kulit ,Permintaan & Hasil,Naratif ,PA099437,FNAB jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
43,FNAB ,Jaringan payudara ,FNAB jaringan payudara ,Permintaan & Hasil,Naratif ,PA099438,FNAB jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
44,FNAB ,Jaringan endokrin ,FNAB jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099439,FNAB jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
45,FNAB ,Jaringan nefrourinaria ,FNAB jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099440,FNAB jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
46,FNAB ,Jaringan genitalia pria ,FNAB jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099441,FNAB jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
47,FNAB ,Jaringan genitalia wanita ,FNAB jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099442,FNAB jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
48,FNAB ,Jaringan retikuloendotelial,FNAB jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099443,FNAB jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
49,FNAB ,Jaringan lainnya ,FNAB jaringan lainnya,Permintaan & Hasil,Naratif ,PA099444,FNAB jaringan lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
50,PAP smear ,Sikatan serviko-vaginal,PAP smear sikatan serviko-vaginal,Permintaan & Hasil,Naratif ,PA099445,PAP smear sikatan serviko-vaginal,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
51,Histopatologi,Jaringan saraf pusat ,Histopatologi jaringan saraf pusat ,Permintaan & Hasil,Naratif ,PA099446,Histopatologi jaringan saraf pusat ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
52,Histopatologi,Jaringan saraf pusat ,Histopatologi potong beku jaringan saraf pusat ,Permintaan & Hasil,Naratif ,PA099447,Histopatologi potong beku jaringan saraf pusat ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
53,Histopatologi,Jaringan mata dan adneksa ,Histopatologi jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099448,Histopatologi jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
54,Histopatologi,Jaringan mata dan adneksa ,Histopatologi potong beku jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099449,Histopatologi potong beku jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
55,Histopatologi,"Jaringan telinga, hidung, mulut ","Histopatologi jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099450,"Histopatologi jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
56,Histopatologi,"Jaringan telinga, hidung, mulut ","Histopatologi potong beku jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099451,"Histopatologi potong beku jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
57,Histopatologi,Jaringan respiratori ,Histopatologi jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099452,Histopatologi jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
58,Histopatologi,Jaringan respiratori ,Histopatologi potong beku jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099453,Histopatologi potong beku jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
59,Histopatologi,Jaringan kardiovaskular ,Histopatologi jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099454,Histopatologi jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
60,Histopatologi,Jaringan kardiovaskular ,Histopatologi potong beku jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099455,Histopatologi potong beku jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
61,Histopatologi,Jaringan gastrointestinal ,Histopatologi jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099456,Histopatologi jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
62,Histopatologi,Jaringan gastrointestinal ,Histopatologi potong beku jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099457,Histopatologi potong beku jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
63,Histopatologi,Jaringan hepatobilier dan pankreas ,Histopatologi jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099458,Histopatologi jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
64,Histopatologi,Jaringan hepatobilier dan pankreas ,Histopatologi potong beku hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099459,Histopatologi potong beku hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
65,Histopatologi,Jaringan muskuloskeletal ,Histopatologi jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099460,Histopatologi jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
66,Histopatologi,Jaringan muskuloskeletal ,Histopatologi potong beku muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099461,Histopatologi potong beku muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
67,Histopatologi,Jaringan kulit ,Histopatologi jaringan kulit ,Permintaan & Hasil,Naratif ,PA099462,Histopatologi jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
68,Histopatologi,Jaringan kulit ,Histopatologi potong beku jaringan kulit ,Permintaan & Hasil,Naratif ,PA099463,Histopatologi potong beku jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
69,Histopatologi,Jaringan payudara ,Histopatologi jaringan payudara ,Permintaan & Hasil,Naratif ,PA099464,Histopatologi jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
70,Histopatologi,Jaringan payudara ,Histopatologi potong beku jaringan payudara ,Permintaan & Hasil,Naratif ,PA099465,Histopatologi potong beku jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
71,Histopatologi,Jaringan endokrin ,Histopatologi jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099466,Histopatologi jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
72,Histopatologi,Jaringan endokrin ,Histopatologi potong beku jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099467,Histopatologi potong beku jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
73,Histopatologi,Jaringan nefrourinaria ,Histopatologi jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099468,Histopatologi jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
74,Histopatologi,Jaringan nefrourinaria ,Histopatologi potong beku jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099469,Histopatologi potong beku jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
75,Histopatologi,Jaringan genitalia pria ,Histopatologi jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099470,Histopatologi jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
76,Histopatologi,Jaringan genitalia pria ,Histopatologi potong beku jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099471,Histopatologi potong beku jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
77,Histopatologi,Jaringan genitalia wanita ,Histopatologi jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099472,Histopatologi jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
78,Histopatologi,Jaringan genitalia wanita ,Histopatologi potong beku jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099473,Histopatologi potong beku jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
79,Histopatologi,Jaringan retikuloendotelial,Histopatologi jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099474,Histopatologi jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
80,Histopatologi,Jaringan retikuloendotelial,Histopatologi potong beku jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099475,Histopatologi potong beku jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
81,Histopatologi,Jaringan lainnya ,Histopatologi jaringan lainnya ,Permintaan & Hasil,Naratif ,PA099476,Histopatologi jaringan lainnya ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
82,Histopatologi,Jaringan lainnya ,Histopatologi potong beku jaringan lainnya,Permintaan & Hasil,Naratif ,PA099477,Histopatologi potong beku jaringan lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
83,Histokimia ,Jaringan sistem saraf pusat,Histokimia Pemeriksaan Periodic Acid Schiff jaringan sistem saraf pusat ,Permintaan & Hasil,Naratif ,PA099478,Histokimia Pemeriksaan Periodic Acid Schiff jaringan sistem saraf pusat ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
84,Histokimia ,Jaringan mata dan adneksa ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099479,Histokimia Pemeriksaan Periodic Acid Schiff jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
85,Histokimia ,"Jaringan telinga, hidung, mulut ","Histokimia Pemeriksaan Periodic Acid Schiff jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099480,"Histokimia Pemeriksaan Periodic Acid Schiff jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
86,Histokimia ,Jaringan respiratori ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099481,Histokimia Pemeriksaan Periodic Acid Schiff jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
87,Histokimia ,Jaringan kardiovaskular ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099482,Histokimia Pemeriksaan Periodic Acid Schiff jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
88,Histokimia ,Jaringan gastrointestinal ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099483,Histokimia Pemeriksaan Periodic Acid Schiff jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
89,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099484,Histokimia Pemeriksaan Periodic Acid Schiff jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
90,Histokimia ,Jaringan muskuloskeletal ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099485,Histokimia Pemeriksaan Periodic Acid Schiff jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
91,Histokimia ,Jaringan kulit ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan kulit ,Permintaan & Hasil,Naratif ,PA099486,Histokimia Pemeriksaan Periodic Acid Schiff jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
92,Histokimia ,Jaringan payudara ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan payudara ,Permintaan & Hasil,Naratif ,PA099487,Histokimia Pemeriksaan Periodic Acid Schiff jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
93,Histokimia ,Jaringan endokrin ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099488,Histokimia Pemeriksaan Periodic Acid Schiff jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
94,Histokimia ,Jaringan nefrourinaria ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099489,Histokimia Pemeriksaan Periodic Acid Schiff jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
95,Histokimia ,Jaringan genitalia pria ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099490,Histokimia Pemeriksaan Periodic Acid Schiff jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
96,Histokimia ,Jaringan genitalia wanita ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099491,Histokimia Pemeriksaan Periodic Acid Schiff jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
97,Histokimia ,Jaringan hematopoetic ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099492,Histokimia Pemeriksaan Periodic Acid Schiff jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
98,Histokimia ,Jaringan retikuloendotelial ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan retikuloendotelial ,Permintaan & Hasil,Naratif ,PA099493,Histokimia Pemeriksaan Periodic Acid Schiff jaringan retikuloendotelial ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
99,Histokimia ,Jaringan lainnya ,Histokimia Pemeriksaan Periodic Acid Schiff jaringan retikuloendotelial ,Permintaan & Hasil,Naratif ,PA099494,Histokimia Pemeriksaan Periodic Acid Schiff jaringan retikuloendotelial ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
100,Histokimia ,Jaringan sistem saraf pusat,Histokimia Pemeriksaan Alcian Blue jaringan sistem saraf pusat,Permintaan & Hasil,Naratif ,PA099495,Histokimia Pemeriksaan Alcian Blue jaringan sistem saraf pusat,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
101,Histokimia ,Jaringan mata dan adneksa ,Histokimia Pemeriksaan Alcian Blue jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099496,Histokimia Pemeriksaan Alcian Blue jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
102,Histokimia ,"Jaringan telinga, hidung, mulut ","Histokimia Pemeriksaan Alcian Blue jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099497,"Histokimia Pemeriksaan Alcian Blue jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
103,Histokimia ,Jaringan respiratori ,Histokimia Pemeriksaan Alcian Blue jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099498,Histokimia Pemeriksaan Alcian Blue jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
104,Histokimia ,Jaringan kardiovaskular ,Histokimia Pemeriksaan Alcian Blue jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099499,Histokimia Pemeriksaan Alcian Blue jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
105,Histokimia ,Jaringan gastrointestinal ,Histokimia Pemeriksaan Alcian Blue jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099500,Histokimia Pemeriksaan Alcian Blue jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
