No,Nama Pemeriksaan,Permintaan/Hasil,Code,Display,Component,Property,Timing,System,Scale,Method,Unit of Measure,Code System,BodySite Code,BodySite Display,BodySite CodeSystem,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date
11,MG guidance untuk biopsi payudara atau penempatan jarum,Permintaan & Hasil,24602-5,MG Guidance for biopsy of Breast,Guidance for percutaneous biopsy,Find,Pt,Breast,Doc,MG,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
12,MG guidance wire,Permintaan & Hasil,48735-5,MG Guidance for localization of Breast,Guidance for localization,Find,Pt,Breast,Doc,MG,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
13,MG kanan,Permintaan & Hasil,37774-7,MG Breast - right Views,Views,Find,Pt,Breast.right,Doc,MG,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
14,MG kiri,Permintaan & Hasil,36627-8,MG Breast - left Views,Views,Find,Pt,Breast.left,Doc,MG,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
15,MG skrining bilateral,Permintaan & Hasil,26175-0,MG Breast - bilateral Screening,Views screening,Find,Pt,Breast.bilateral,Doc,MG,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
16,MG unilateral,Permintaan & Hasil,46338-0,MG Breast - unilateral Single view,View,Find,Pt,Breast.unilateral,Doc,MG,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
17,US abdomen,Permintaan & Hasil,24558-9,US Abdomen,Multisection,Find,Pt,Abdomen,Doc,US,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
18,US abdomen atas,Permintaan & Hasil,24558-9,US Abdomen,Multisection,Find,Pt,Abdomen,Doc,US,,http://loinc.org,80581009,Upper abdomen structure,http://snomed.info/sct,,,1.0,1.0,2/13/2023,2/13/2023
19,US abdomen atas dan bawah,Permintaan & Hasil,24558-9,US Abdomen,Multisection,Find,Pt,Abdomen,Doc,US,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
20,US abdomen bawah,Permintaan & Hasil,24558-9,US Abdomen,Multisection,Find,Pt,Abdomen,Doc,US,,http://loinc.org,27033000,Lower abdomen structure,http://snomed.info/sct,,,1.0,1.0,2/13/2023,2/13/2023
21,US abdomen bayi,Permintaan & Hasil,RD0993110,US abdomen bayi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
22,US abdomen bayi + elastografi,Permintaan & Hasil,RD0993111,US abdomen bayi + elastografi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
23,US abdomen bayi + elastografi + doppler,Permintaan & Hasil,RD0993112,US abdomen bayi + elastografi + doppler,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
24,US abdomen bayi 2 fase,Permintaan & Hasil,RD0993113,US abdomen bayi 2 fase,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
25,US ankle,Permintaan & Hasil,30709-0,US Lower extremity,Multisection,Find,Pt,Lower extremity,Doc,US,,http://loinc.org,344001,Ankle region structure,http://snomed.info/sct,,,1.0,1.0,2/13/2023,2/13/2023
26,US ankle bilateral,Permintaan & Hasil,38013-9,US Lower extremity - bilateral,Multisection,Find,Pt,Lower extremity.bilateral,Doc,US,,http://loinc.org,729790008,Entire ankle joint cavity,http://snomed.info/sct,,,1.0,1.0,2/13/2023,2/13/2023
27,US appendiks,Permintaan & Hasil,24548-0,US Appendix,Multisection,Find,Pt,Abdomen+Pelvis>Appendix,Doc,US,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
28,US arteri ekstremitas inferior bilateral,Permintaan & Hasil,38130-1,US Lower extremity artery - bilateral,Multisection,Find,Pt,Lower extremity.bilateral>Lower extremity artery,Doc,US,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
29,US arteri ekstremitas inferior kanan,Permintaan & Hasil,41815-2,US Lower extremity artery - right,Multisection,Find,Pt,Lower extremity.right>Lower extremity artery,Doc,US,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
30,US arteri ekstremitas inferior kiri,Permintaan & Hasil,41834-3,US Lower extremity artery - left,Multisection,Find,Pt,Lower extremity.left>Lower extremity artery,Doc,US,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
31,US arteri ekstremitas superior bilateral,Permintaan & Hasil,38014-7,US Upper extremity artery - bilateral,Multisection,Find,Pt,Upper extremity.bilateral>Upper extremity artery,Doc,US,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
32,US arteri ekstremitas superior kanan,Permintaan & Hasil,41814-5,US Upper extremity artery - right,Multisection,Find,Pt,Upper extremity.right>Upper extremity artery,Doc,US,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
33,US arteri ekstremitas superior kiri,Permintaan & Hasil,41833-5,US Upper extremity artery - left,Multisection,Find,Pt,Upper extremity.left>Upper extremity artery,Doc,US,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
34,US axilla,Permintaan & Hasil,80852-7,US Axilla,Multisection,Find,Pt,Chest>Axilla,Doc,US,,http://loinc.org,,,,2.56,2.73,1.0,1.1,15/11/2023,17/01/2024
35,US axilla Kanan ,Permintaan & Hasil,72528-3,US Axilla - right,Multisection,Find,Pt,Chest>Axilla.right,Doc,US,,http://loinc.org,,,,2.42,2.73,1.0,1.1,15/11/2023,17/01/2024
36,US axilla Kiri ,Permintaan & Hasil,72529-1,US Axilla - left,Multisection,Find,Pt,Chest>Axilla.left,Doc,US,,http://loinc.org,,,,2.42,2.61,1.0,1.1,15/11/2023,17/01/2024
37,US bahu,Permintaan & Hasil,24907-8,US Shoulder,Multisection,Find,Pt,Upper extremity>Shoulder,Doc,US,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
38,US bahu bilateral,Permintaan & Hasil,26265-9,US Shoulder - bilateral,Multisection,Find,Pt,Upper extremity.bilateral>Shoulder,Doc,US,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
39,US bedside,Permintaan & Hasil,RD0993114,US bedside,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
40,US cardiac output monitor,Permintaan & Hasil,RD0993115,US cardiac output monitor,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
41,US coxae,Permintaan & Hasil,24760-1,US Hip,Multisection,Find,Pt,Lower extremity>Hip,Doc,US,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
42,US coxae bayi bilateral,Permintaan & Hasil,81164-6,US Pediatric limited Hip - bilateral,Multisection limited for pediatrics,Find,Pt,Lower extremity.bilateral>Hip,Doc,US,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
43,US cubiti,Permintaan & Hasil,RD0994264,US cubiti,Guidance for injection,Find,Pt,Upper extremity>Elbow,Doc,US,,http://loinc.org,,,,2.56,2.64,1.0,1.2,06/05/2024,06/05/2024
44,US cubiti bilateral,Permintaan & Hasil,RD0994265,US cubiti bilateral,Guidance for injection,Find,Pt,Upper extremity.bilateral>Elbow,Doc,US,,http://loinc.org,,,,2.7,2.7,1.0,1.2,06/05/2024,06/05/2024
45,US diafragma,Permintaan & Hasil,24672-8,US Diaphragm for motion,Multisection for motion,Find,Pt,Chest>Diaphragm,Doc,US,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
46,US doppler abdomen bayi,Permintaan & Hasil,RD0993116,US Doppler Abdomen Bayi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
47,US doppler akses dialisis,Permintaan & Hasil,39448-6,US.doppler Upper extremity vessels,Multisection,Find,Pt,Upper extremity>Upper extremity vessels,Doc,US.doppler,,http://loinc.org,,,,2.15,2.61,1.0,1.1,15/11/2023,17/01/2024
48,US doppler aorta abdominal,Permintaan & Hasil,94681-4,US.doppler Thoracic and Abdominal Aorta and Inferior Vena Cava and Illiac vessels,Multisection,Find,Pt,Chest>Aorta.thoracic & Abdomen>Aorta.abdominal+Vena cava.inferior & Abdomen+Pelvis>Iliac vessels,Doc,US.doppler,,http://loinc.org,,,,2.68,2.69,1.0,1.1,15/11/2023,17/01/2024
49,"US doppler aorta thoracal dan abdomen, vena cava inferior serta arteri iliaka",Permintaan & Hasil,94681-4,US.doppler Thoracic and Abdominal Aorta and Inferior Vena Cava and Illiac vessels,Multisection,Find,Pt,Chest>Aorta.thoracic & Abdomen>Aorta.abdominal+Vena cava.inferior & Abdomen+Pelvis>Iliac vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
50,"US doppler aorta thoracal dan abdomen, vena cava inferior serta arteri iliaka pemeriksaan terbatas",Permintaan & Hasil,94680-6,US.doppler Thoracic and Abdominal Aorta and Inferior Vena Cava and Illiac vessels limited,Multisection limited,Find,Pt,Chest>Aorta.thoracic & Abdomen>Aorta.abdominal+Vena cava.inferior & Abdomen+Pelvis>Iliac vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
51,US doppler arteri carotis,Permintaan & Hasil,42146-1,US.doppler Carotid arteries,Multisection,Find,Pt,Head+Neck>Carotid arteries,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
52,US doppler arteri carotis pemeriksaan terbatas,Permintaan & Hasil,80850-1,US.doppler Carotid arteries limited,Multisection limited,Find,Pt,Head+Neck>Carotid arteries,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
53,US doppler arteri dan vena ekstremitas inferior ,Permintaan & Hasil,44174-1,US.doppler Lower extremity vessels,Multisection,Find,Pt,Lower extremity>Lower extremity vessels,Doc,US.doppler,,http://loinc.org,,,,2.17,2.61,1.0,1.1,15/11/2023,17/01/2024
54,US doppler arteri dan vena ekstremitas inferior bilateral,Permintaan & Hasil,39422-1,US.doppler Lower extremity vessels - bilateral,Multisection,Find,Pt,Lower extremity.bilateral>Lower extremity vessels,Doc,US.doppler,,http://loinc.org,,,,2.15,2.61,1.0,1.1,15/11/2023,17/01/2024
55,US doppler arteri dan vena ekstremitas superior,Permintaan & Hasil,39448-6,US.doppler Upper extremity vessels,Multisection,Find,Pt,Upper extremity>Upper extremity vessels,Doc,US.doppler,,http://loinc.org,,,,2.15,2.61,1.0,1.1,15/11/2023,17/01/2024
56,US doppler arteri dan vena ekstremitas superior bilateral,Permintaan & Hasil,46379-4,US.doppler Upper extremity vessels - bilateral,Multisection,Find,Pt,Upper extremity.bilateral>Upper extremity vessels,Doc,US.doppler,,http://loinc.org,,,,2.19,2.61,1.0,1.1,15/11/2023,17/01/2024
57,US doppler arteri ekstermitas bilateral,Permintaan & Hasil,39031-0,US.doppler Extremity artery - bilateral,Multisection,Find,Pt,Extremity.bilateral>Extremity artery,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
58,US doppler arteri ekstremitas,Permintaan & Hasil,39042-7,US.doppler Extremity artery,Multisection,Find,Pt,Extremity>Extremity artery,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
59,US doppler arteri ekstremitas atas atau grafting arteri bilateral,Permintaan & Hasil,44237-6,US.doppler Upper extremity vessel - bilateral for graft limited,Multisection limited for graft,Find,Pt,Upper extremity.bilateral>Upper extremity vessel,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
60,US doppler arteri ekstremitas atas bilateral,Permintaan & Hasil,39423-9,US.doppler Upper extremity artery - bilateral,Multisection,Find,Pt,Upper extremity.bilateral>Upper extremity artery,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
61,US doppler arteri ekstremitas atas kanan,Permintaan & Hasil,39506-1,US.doppler Upper extremity artery - right,Multisection,Find,Pt,Upper extremity.right>Upper extremity artery,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
62,US doppler arteri ekstremitas atas kiri,Permintaan & Hasil,39500-4,US.doppler Upper extremity artery - left,Multisection,Find,Pt,Upper extremity.left>Upper extremity artery,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
63,US doppler arteri ekstremitas atas terbatas,Permintaan & Hasil,38143-4,US.doppler Upper extremity artery limited,Multisection limited,Find,Pt,Upper extremity>Upper extremity artery,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
64,US doppler arteri ekstremitas atas untuk grafting arteri kanan,Permintaan & Hasil,42476-2,US.doppler Upper extremity vessel - right for graft,Multisection for graft,Find,Pt,Upper extremity.right>Upper extremity vessel,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
65,US doppler arteri ekstremitas atas untuk grafting arteri kiri,Permintaan & Hasil,42475-4,US.doppler Upper extremity vessel - left for graft,Multisection for graft,Find,Pt,Upper extremity.left>Upper extremity vessel,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
66,US doppler arteri ekstremitas bawah bilateral lengkap,Permintaan & Hasil,39421-3,US.doppler Lower extremity artery - bilateral,Multisection,Find,Pt,Lower extremity.bilateral>Lower extremity artery,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
67,US doppler arteri ekstremitas bawah kanan,Permintaan & Hasil,39505-3,US.doppler Lower extremity artery - right,Multisection,Find,Pt,Lower extremity.right>Lower extremity artery,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
68,US doppler arteri ekstremitas bawah kiri,Permintaan & Hasil,39499-9,US.doppler Lower extremity artery - left,Multisection,Find,Pt,Lower extremity.left>Lower extremity artery,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
69,US doppler arteri ekstremitas bawah terbatas,Permintaan & Hasil,38042-8,US.doppler Lower extremity artery limited,Multisection limited,Find,Pt,Lower extremity>Lower extremity artery,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
70,US doppler arteri ekstremitas bawah untuk grafting arteri kanan,Permintaan & Hasil,42462-2,US.doppler Lower extremity vessel - right for graft,Multisection for graft,Find,Pt,Lower extremity.right>Lower extremity vessel,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
71,US doppler arteri ekstremitas bawah untuk grafting arteri kiri,Permintaan & Hasil,42461-4,US.doppler Lower extremity vessel - left for graft,Multisection for graft,Find,Pt,Lower extremity.left>Lower extremity vessel,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
72,US doppler arteri intra kranial pemeriksaan lengkap,Permintaan & Hasil,24733-8,US.doppler Head vessels,Multisection,Find,Pt,Head>Head vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
73,US doppler arteri intra kranial pemeriksaan terbatas,Permintaan & Hasil,39044-3,US.doppler Head vessels limited,Multisection limited,Find,Pt,Head>Head vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
74,US doppler carotis - vertebral - jugular,Permintaan & Hasil,RD0993117,US Doppler Carotis - Vertebral - Jugular,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
75,US doppler carotis - vertebral - jugular bilateral,Permintaan & Hasil,RD0993118,US Doppler Carotis - Vertebral - Jugular Bilateral,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
76,US doppler carotis bilateral ,Permintaan & Hasil,43765-7,US.doppler Carotid arteries - bilateral,Multisection,Find,Pt,Head+Neck>Carotid arteries.bilateral,Doc,US.doppler,,http://loinc.org,,,,2.17,2.73,1.0,1.1,15/11/2023,17/01/2024
77,US doppler carotis kanan ,Permintaan & Hasil,39437-9,US.doppler Carotid arteries -right,Multisection,Find,Pt,Head+Neck>Carotid arteries.right,Doc,US.doppler,,http://loinc.org,,,,2.15,2.61,1.0,1.1,15/11/2023,17/01/2024
78,US doppler carotis kiri ,Permintaan & Hasil,39427-0,US.doppler Carotid arteries - left,Multisection,Find,Pt,Head+Neck>Carotid arteries.left,Doc,US.doppler,,http://loinc.org,,,,2.15,2.61,1.0,1.1,15/11/2023,17/01/2024
79,US doppler echocardiografi,Permintaan & Hasil,80859-2,US.doppler Heart,Multisection,Find,Pt,Chest>Heart,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
80,US doppler ginekologi ,Permintaan & Hasil,39502-0,US.doppler Ovarian vessels,Multisection,Find,Pt,Pelvis>Ovarian vessels,Doc,US.doppler,,http://loinc.org,,,,2.15,2.61,1.0,1.1,15/11/2023,17/01/2024
81,US doppler ginekologi ,Permintaan & Hasil,24870-8,US.doppler Pelvis vessels,Multisection,Find,Pt,Pelvis>Pelvis vessels,Doc,US.doppler,,http://loinc.org,,,,1.0o,2.61,1.0,1.1,15/11/2023,17/01/2024
82,US doppler ginekologi ,Permintaan & Hasil,80872-5,US.doppler Uterus and Fallopian tubes W saline IU,Multisection^W saline IU,Find,Pt,Pelvis>Uterus+Fallopian tubes,Doc,US.doppler,,http://loinc.org,,,,2.56,2.61,1.0,1.1,15/11/2023,17/01/2024
83,US doppler kepala anak,Permintaan & Hasil,81160-4,US.doppler Pediatric limited Head,Multisection limited for pediatrics,Find,Pt,Head,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
84,US doppler obstetri,Permintaan & Hasil,80864-2,US.doppler for pregnancy,Multisection for pregnancy,Find,Pt,Pelvis+^Fetus,Doc,US.doppler,,http://loinc.org,,,,2.56,2.58,1.0,1.1,15/11/2023,17/01/2024
85,US doppler pembuluh darah abdomen,Permintaan & Hasil,24534-0,US.doppler Abdominal vessels,Multisection,Find,Pt,Abdomen>Abdominal vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
86,US doppler pembuluh darah abdomen atas,Permintaan & Hasil,24534-0,US.doppler Abdominal vessels,Multisection,Find,Pt,Abdomen>Abdominal vessels,Doc,US.doppler,,http://loinc.org,80581009,Upper abdomen structure,http://snomed.info/sct,,,1.0,1.0,2/13/2023,2/13/2023
87,US doppler pembuluh darah abdomen bawah (ginjal),Permintaan & Hasil,39426-2,US.doppler Renal vessels,Multisection,Find,Pt,Abdomen>Renal vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
88,US doppler pembuluh darah abdomen lengkap,Permintaan & Hasil,24534-0,US.doppler Abdominal vessels,Multisection,Find,Pt,Abdomen>Abdominal vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
89,US doppler pembuluh darah abdomen pemeriksaan terbatas,Permintaan & Hasil,43572-7,US.doppler Abdominal vessels limited,Multisection limited,Find,Pt,Abdomen>Abdominal vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
90,US doppler pembuluh darah ekstremitas bawah kanan,Permintaan & Hasil,39442-9,US.doppler Lower extremity vessels - right,Multisection,Find,Pt,Lower extremity.right>Lower extremity vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
91,US doppler pembuluh darah ekstremitas bawah kiri,Permintaan & Hasil,39431-2,US.doppler Lower extremity vessels - left,Multisection,Find,Pt,Lower extremity.left>Lower extremity vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
92,US doppler pembuluh darah ekstremitas superior bilateral,Permintaan & Hasil,46379-4,US.doppler Upper extremity vessels - bilateral,Multisection,Find,Pt,Upper extremity.bilateral>Upper extremity vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
93,US doppler pembuluh darah ekstremitas superior kanan,Permintaan & Hasil,39444-5,US.doppler Upper extremity vessels - right,Multisection,Find,Pt,Upper extremity.right>Upper extremity vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
94,US doppler pembuluh darah ekstremitas superior kiri,Permintaan & Hasil,39433-8,US.doppler Upper extremity vessels - left,Multisection,Find,Pt,Upper extremity.left>Upper extremity vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
95,US doppler pembuluh darah ginjal dan renovascular,Permintaan & Hasil,39426-2,US.doppler Renal vessels,Multisection,Find,Pt,Abdomen>Renal vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
96,US doppler pembuluh darah jantimg,Permintaan & Hasil,80859-2,US.doppler Heart,Multisection,Find,Pt,Chest>Heart,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
97,US doppler pembuluh darah pelvis pemeriksaan terbatas,Permintaan & Hasil,42152-9,US.doppler Pelvis vessels limited,Multisection limited,Find,Pt,Pelvis>Pelvis vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
98,US doppler pembuluh darah penis pemeriksaan lengkap,Permintaan & Hasil,80874-1,US.doppler Penis vessels,Multisection,Find,Pt,Pelvis>Penis vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
99,US doppler pembuluh darah penis pemeriksaan terbatas,Permintaan & Hasil,80873-3,US.doppler Penis limited,Multisection limited,Find,Pt,Pelvis>Penis,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
100,US doppler pembuluh darah testis,Permintaan & Hasil,39446-0,US.doppler Testicular vessels,Multisection,Find,Pt,Pelvis>Testicular vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
101,US doppler skrotum,Permintaan & Hasil,48742-1,US.doppler Scrotum and testicle,Multisection,Find,Pt,Pelvis>Scrotum+Testicle,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
102,US doppler superfisial,Permintaan & Hasil,X099262,US doppler superfisial,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.0,2/13/2023,2/13/2023
103,US doppler transcranial,Permintaan & Hasil,24733-8,US.doppler Head vessels,Multisection,Find,Pt,Head>Head vessels,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.1,15/11/2023,17/01/2024
104,US doppler untuk SIS (Saline Infusion Sonohysterography),Permintaan & Hasil,80872-5,US.doppler Uterus and Fallopian tubes W saline IU,Multisection^W saline IU,Find,Pt,Pelvis>Uterus+Fallopian tubes,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
105,US doppler vaskular 1 organ,Permintaan & Hasil,RD0993119,US Doppler Vaskular 1 Organ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
106,US doppler vaskular hepar,Permintaan & Hasil,69284-8,US.doppler Portal vein and Hepatic vein,Multisection,Find,Pt,Abdomen>Portal vein+Hepatic vein,Doc,US.doppler,,http://loinc.org,,,,2.38,2.61,1.0,1.1,15/11/2023,17/01/2024
107,US doppler vena ekstremitas,Permintaan & Hasil,39449-4,US.doppler Extremity vein,Multisection,Find,Pt,Extremity>Extremity vein,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
108,US doppler vena ekstremitas atas kanan,Permintaan & Hasil,39507-9,US.doppler Upper extremity vein - right,Multisection,Find,Pt,Upper extremity.right>Upper extremity vein,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
109,US doppler vena ekstremitas atas kiri,Permintaan & Hasil,39501-2,US.doppler Upper extremity vein - left,Multisection,Find,Pt,Upper extremity.left>Upper extremity vein,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
110,US doppler vena ekstremitas bilateral,Permintaan & Hasil,39418-9,US.doppler Extremity vein - bilateral,Multisection,Find,Pt,Extremity.bilateral>Extremity vein,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
111,US doppler vena ekstremitas bilateral lengkap,Permintaan & Hasil,69283-0,US.doppler Extremity veins - bilateral,Multisection,Find,Pt,Extremity.bilateral>Extremity veins,Doc,US.doppler,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
